id,catfam,priam,deepec,deepectransformer-regular,deepectransformer-learnt,ecpred,ecrecer,blastp,clean-triplet,clean-supcon,enzbert-regular,enzbert-learnt,proteinbert-regular,proteinbert-learnt,stacked,ec_number,majority-voting-regular,majority-voting-learnt
WP_012428706,-,-,-,4.2.1.7,4.2.1.7,4.2.1.-,4.2.1.9,4.2.1.42,4.4.1.24,4.4.1.24,2.1.1.-,2.1.1.-,4.2.1.7,"4.2.1.7,2.3.1.177",4.4.1.24,"4.2.1.68,4.2.1.90",4.2.1.7,4.2.1.7
WP_085966746,-,-,-,4.2.1.7,"4.2.1.7,3.5.4.43",4.-.-.-,3.6.1.23,4.2.1.7,4.4.1.24,4.4.1.24,4.4.1.24,4.4.1.24,1.13.11.3,1.13.11.3,4.4.1.24,"4.2.1.68,4.2.1.90","4.2.1.7,4.4.1.24","4.2.1.7,4.4.1.24"
WP_043352074,-,-,-,6.2.1.25,6.2.1.25,6.2.1.-,6.2.1.1,6.2.1.25,6.2.1.25,6.2.1.25,6.2.1.-,"6.2.1.2,6.2.1.3",6.2.1.-,6.2.1.-,6.2.1.2,6.2.1.32,"6.2.1.25,6.2.1.-",6.2.1.25
WP_043349422,-,-,-,1.1.3.15,1.1.99.14,1.5.-.-,1.3.1.98,1.1.2.4,1.1.2.4,1.1.2.4,1.-.-.-,1.-.-.-,1.1.99.6,1.1.99.6,1.1.99.39,1.1.3.15,1.1.2.4,1.1.2.4
WP_043349427,-,-,-,1.1.99.14,1.1.99.14,1.-.-.-,1.3.1.98,1.1.2.4,1.1.99.6,1.1.99.6,1.-.-.-,"1.1.1.401,4.2.1.-",1.1.2.4,1.1.3.41,1.1.98.3,1.1.3.15,"1.-.-.-,1.1.2.4",1.1.99.6
WP_043349430,-,-,-,1.1.99.14,1.1.99.14,1.-.-.-,1.8.98.1,-,1.3.99.31,1.8.98.1,1.-.-.-,1.-.-.-,1.3.4.1,1.3.4.1,7.-.-.-,1.1.3.15,"1.-.-.-,1.8.98.1","1.-.-.-,1.8.98.1"
WP_043354857,-,-,-,1.1.1.103,1.1.1.103,1.1.-.-,5.1.3.20,1.1.1.103,1.1.1.203,1.1.1.203,1.-.-.-,1.-.-.-,1.1.1.410,"1.1.1.203,5.1.3.18,1.1.1.410",1.1.1.-,1.1.1.103,1.1.1.103,"1.1.1.103,1.1.1.203"
WP_012179094,-,-,-,2.7.1.51,2.7.1.51,3.-.-.-,2.7.1.16,-,2.7.1.47,2.7.1.47,2.7.1.-,"2.7.1.17,2.7.1.-",2.7.1.2,2.7.1.2,2.7.1.51,2.7.1.5,2.7.1.47,3.-.-.-
WP_012179101,-,-,-,1.1.1.107,"4.1.2.19,1.1.1.107,4.2.1.126",1.-.-.-,4.2.1.109,1.-.-.-,"1.3.1.28,1.3.1.25","5.1.3.4,4.2.1.109,4.1.2.19",1.-.-.-,1.-.-.-,1.3.1.34,1.3.1.34,1.-.-.-,4.1.2.19,1.-.-.-,1.-.-.-
WP_066580460,-,-,-,3.2.1.1,3.2.1.1,3.-.-.-,3.2.1.1,3.2.1.1,3.2.1.1,3.2.1.1,3.2.1.1,3.2.1.1,3.2.1.1,3.2.1.1,3.2.1.1,3.2.1.20,3.2.1.1,3.2.1.1
WP_066581977,-,-,-,3.2.1.80,"3.2.1.65,3.2.1.80",3.2.1.26,3.2.1.26,3.2.1.80,3.2.1.80,3.2.1.80,3.2.1.80,3.2.1.80,3.2.1.26,3.2.1.26,3.2.1.80,3.2.1.26,3.2.1.80,3.2.1.80
WP_066578892,-,-,1.1.1.175,1.1.1.100,1.1.1.53,1.1.1.-,1.-.-.-,1.1.1.175,1.1.1.390,1.1.1.175,1.1.1.-,"1.1.1.-,1.1.1.390",1.1.1.175,"1.1.1.-,1.1.1.175",1.1.1.-,1.1.1.175,1.1.1.175,1.1.1.175
WP_066578896,-,-,-,1.2.1.26,1.2.1.26,1.-.-.-,1.2.1.71,1.2.1.26,1.2.1.4,"1.2.1.26,1.2.1.4",1.2.1.26,1.2.1.26,1.2.1.4,1.2.1.4,"1.2.1.26,1.2.1.4",1.2.1.26,1.2.1.26,1.2.1.26
WP_041645374,-,-,-,1.3.8.1,1.3.8.13,1.-.-.-,1.3.8.13,1.3.8.-,1.3.8.9,"1.3.8.-,1.3.8.8",1.3.8.-,1.3.8.-,1.3.8.10,1.3.8.10,1.3.8.-,1.3.8.7,1.3.8.-,1.3.8.-
WP_014576347,-,-,-,2.6.1.1,2.6.1.57,2.-.-.-,2.6.1.1,2.6.1.1,2.6.1.107,2.6.1.57,2.6.1.57,2.6.1.57,2.6.1.5,"2.6.1.1,2.6.1.5",2.6.1.1,2.6.1.57,2.6.1.1,"2.6.1.57,2.6.1.1"
NP_719054,-,-,-,2.7.1.8,2.7.1.8,2.7.1.-,2.7.1.2,2.7.1.8,2.7.1.8,2.7.1.8,2.7.1.59,2.7.1.59,2.7.1.59,2.7.1.59,2.7.1.8,2.7.1.59,2.7.1.8,2.7.1.8
WP_014879948,-,-,-,1.1.1.60,"1.1.1.31,1.1.1.291,1.1.1.60",1.-.-.-,1.1.1.94,1.1.-.-,1.1.1.31,1.1.1.31,1.1.-.-,1.1.-.-,"1.1.1.31,1.1.-.-","1.1.1.31,1.1.-.-",1.1.-.-,1.1.1.60,1.1.-.-,"1.1.1.31,1.1.-.-"
WP_014880051,-,-,-,3.5.3.18,3.5.3.18,6.-.-.-,3.5.3.6,-,3.5.3.18,"3.5.3.-,3.5.3.18",2.1.1.-,2.1.1.-,3.5.3.6,3.5.3.6,3.5.3.18,3.5.3.6,"3.5.3.18,3.5.3.6","3.5.3.18,3.5.3.6"
WP_014880077,-,-,-,5.3.1.31,5.1.3.11,5.-.-.-,3.2.1.4,-,5.1.3.11,"5.1.3.11,5.3.1.31",5.3.1.31,5.3.1.31,5.3.1.31,5.3.1.31,5.3.1.31,5.3.1.7,5.3.1.31,5.3.1.31
WP_014880980,-,-,-,2.7.1.8,2.7.1.8,2.-.-.-,2.7.1.2,-,"2.7.1.8,2.7.1.59",2.7.1.8,2.7.1.59,2.7.1.59,2.7.1.8,2.7.1.8,2.7.1.8,2.7.1.59,2.7.1.8,2.7.1.8
WP_014881125,-,-,-,1.1.99.14,1.1.99.14,1.3.5.1,1.8.98.1,-,"1.3.4.1,1.3.99.31",1.8.98.1,1.-.-.-,1.-.-.-,1.3.4.1,1.3.4.1,7.-.-.-,1.1.3.15,1.8.98.1,1.8.98.1
WP_014881126,-,-,-,1.1.99.14,"1.1.99.14,1.7.1.15",1.1.-.-,1.3.1.98,1.1.2.4,1.1.99.6,1.1.99.6,2.3.1.-,2.3.1.-,1.3.1.98,"1.3.1.98,1.-.-.-",1.3.1.98,1.1.3.15,1.3.1.98,1.3.1.98
WP_014881127,-,-,-,1.1.3.15,1.1.99.14,1.1.-.-,1.3.1.98,1.1.2.4,1.1.2.4,1.1.2.4,1.-.-.-,1.-.-.-,1.1.99.6,1.1.99.6,1.1.99.39,1.1.3.15,1.1.2.4,1.1.2.4
WP_014879336,-,-,-,4.1.2.29,"2.3.1.245,4.1.2.29",4.1.-.-,4.1.2.40,4.1.2.13,4.1.2.29,4.1.2.29,4.1.2.40,"4.1.2.40,4.1.2.29",4.1.2.13,4.1.2.13,4.1.2.13,4.1.2.29,"4.1.2.29,4.1.2.40,4.1.2.13",4.1.2.29
WP_014879339,-,-,-,1.1.99.28,1.1.99.28,1.1.1.-,1.1.1.18,1.1.1.18,1.1.1.18,"1.1.1.18,1.1.1.369",1.-.-.-,1.-.-.-,1.-.-.-,1.-.-.-,1.1.1.425,1.1.1.18,1.1.1.18,1.1.1.18
WP_014235627,-,-,-,5.1.99.1,5.1.99.1,-,1.13.11.27,-,5.1.99.1,5.1.99.1,1.-.-.-,1.-.-.-,5.1.99.1,5.1.99.1,5.1.99.1,5.1.99.1,5.1.99.1,5.1.99.1
WP_063341556,-,-,-,1.2.1.5,"1.2.1.26,1.2.1.5",1.2.1.3,1.2.1.8,1.2.1.5,1.2.1.16,1.2.1.4,1.2.1.3,"1.2.1.16,1.2.1.26",1.2.1.5,"1.2.1.5,1.2.1.85",1.2.1.26,1.2.1.26,1.2.1.5,1.2.1.5
WP_007897683,-,-,-,6.3.1.2,6.3.1.11,6.3.1.-,6.3.1.2,6.3.1.11,6.3.1.11,6.3.1.11,6.3.1.2,6.3.1.11,"6.3.1.2,6.3.1.11","6.3.1.2,6.3.1.11",6.3.1.2,6.3.1.11,6.3.1.2,6.3.1.11
WP_063341172,-,-,-,1.1.1.47,1.1.1.47,1.1.1.-,1.-.-.-,1.-.-.-,1.1.1.311,"1.1.1.119,1.1.1.163",1.-.-.-,1.-.-.-,1.1.1.-,"1.2.1.62,1.1.1.-",1.-.-.-,1.1.1.48,1.-.-.-,1.-.-.-
WP_063343423,-,-,1.1.1.203,1.1.1.203,1.1.1.203,1.1.1.-,5.1.3.20,1.1.1.203,1.1.1.203,1.1.1.203,1.1.1.203,1.1.1.203,1.1.1.203,"1.1.1.203,5.1.3.20",1.1.1.203,1.1.1.203,1.1.1.203,1.1.1.203
WP_063343491,-,-,-,1.13.11.24,1.13.11.24,3.-.-.-,4.2.1.80,-,4.2.1.141,4.2.1.141,1.-.-.-,1.-.-.-,5.1.1.8,5.1.1.8,1.16.99.1,4.2.1.43,5.1.1.8,4.2.1.141
WP_063340417,-,-,-,3.2.2.1,"3.2.2.1,3.2.2.8",3.-.-.-,3.2.-.-,3.2.-.-,3.2.-.-,3.2.2.3,3.2.2.3,"3.2.2.3,3.2.2.8",3.5.1.38,3.5.1.38,"3.2.2.3,3.2.2.8",3.2.2.3,"3.2.-.-,3.2.2.3","3.2.2.8,3.2.-.-,3.2.2.3"
WP_057713727,-,-,-,1.1.1.47,1.1.1.47,1.1.1.-,1.-.-.-,1.-.-.-,"1.1.1.311,1.1.1.256","1.1.1.163,1.1.1.119",1.-.-.-,1.-.-.-,1.1.1.-,"1.2.1.62,1.1.1.-,1.1.1.391",1.-.-.-,1.1.1.48,1.-.-.-,1.-.-.-
WP_057714593,-,-,-,4.1.2.42,"4.1.3.41,4.1.2.42,4.3.1.18",4.-.-.-,5.1.1.1,-,4.3.1.27,"4.1.2.42,4.3.1.27",1.-.-.-,1.-.-.-,5.3.1.4,5.3.1.4,4.3.1.18,4.3.1.9,4.1.2.42,4.1.2.42
WP_057714718,-,-,-,1.3.8.1,"1.3.99.2,1.3.8.1",1.3.8.-,1.3.8.13,1.3.99.-,1.3.8.1,1.3.8.1,1.3.99.-,1.3.99.-,1.3.99.-,"1.3.99.-,1.3.8.1",1.3.99.-,1.3.8.1,1.3.99.-,"1.3.8.1,1.3.99.-"
WP_057715016,-,-,-,2.7.1.134,2.7.1.134,3.4.-.-,5.4.4.2,-,4.2.1.141,4.2.1.141,3.4.-.-,3.4.-.-,1.6.5.8,1.6.5.8,2.7.2.1,4.2.1.43,3.4.-.-,3.4.-.-
WP_057715924,-,2.6.1.1,-,2.6.1.1,2.6.1.57,2.6.1.1,2.6.1.1,2.6.1.57,"2.6.1.57,2.6.1.107",2.6.1.57,2.6.1.57,2.6.1.57,2.6.1.1,"2.6.1.3,2.6.1.1",2.6.1.1,2.6.1.57,2.6.1.1,"2.6.1.1,2.6.1.57"
WP_053163627,-,-,-,6.3.1.11,6.3.1.11,6.3.1.-,6.3.1.2,6.3.1.11,6.3.1.11,6.3.1.11,6.3.1.11,6.3.1.11,"6.3.1.2,6.3.1.11","6.3.1.2,6.3.1.11",6.3.1.2,6.3.1.11,6.3.1.11,6.3.1.11
WP_054594340,-,-,-,1.3.8.1,1.3.8.1,1.3.99.-,1.3.8.13,1.3.8.-,1.3.8.9,1.3.8.-,1.3.99.-,1.3.8.1,1.3.8.10,1.3.8.10,1.3.8.-,1.3.8.7,"1.3.99.-,1.3.8.-","1.3.8.1,1.3.8.-"
WP_054594536,-,-,2.6.1.18,2.6.1.113,"2.6.1.77,2.6.1.18,2.6.1.113",2.6.1.-,5.4.3.8,2.6.1.113,2.6.1.113,2.6.1.113,2.6.1.113,2.6.1.113,"2.6.1.96,2.6.1.113","2.6.1.18,2.6.1.96,2.6.1.113",2.6.1.96,2.6.1.19,2.6.1.113,2.6.1.113
WP_054594538,-,-,-,6.3.1.11,6.3.1.11,6.3.1.-,6.3.1.2,6.3.1.11,6.3.1.11,6.3.1.11,6.3.1.11,6.3.1.11,"6.3.1.2,6.3.1.11","6.3.1.2,6.3.1.11",6.3.1.2,6.3.1.11,6.3.1.11,6.3.1.11
WP_054595050,-,-,1.2.1.16,1.2.1.16,"1.2.1.20,1.2.1.16",1.2.1.3,1.2.1.8,1.2.1.20,1.2.1.20,1.2.1.20,1.2.1.20,"1.2.1.20,1.2.1.79",1.2.1.20,"1.2.1.97,1.2.1.20,1.2.1.79",1.2.1.16,1.2.1.16,1.2.1.20,1.2.1.20
WP_054596267,-,2.6.1.57,-,2.6.1.1,2.6.1.57,2.6.1.-,2.6.1.1,2.6.1.57,"2.6.1.107,2.6.1.57",2.6.1.57,2.6.1.57,2.6.1.57,2.6.1.1,"2.6.1.1,2.6.1.57",2.6.1.57,2.6.1.57,2.6.1.57,2.6.1.57
WP_054596656,-,-,-,3.2.2.1,"3.2.2.1,3.2.2.8",3.2.-.-,3.2.-.-,3.2.-.-,3.2.-.-,"3.2.2.3,3.2.-.-,3.2.2.8",3.2.2.3,3.2.2.3,5.5.1.4,5.5.1.4,3.2.-.-,3.2.2.3,3.2.-.-,3.2.-.-
WP_054596807,-,-,-,4.1.2.42,"4.1.3.41,4.1.2.42,4.3.1.18",4.-.-.-,5.1.1.1,-,4.3.1.27,"4.3.1.27,4.1.2.42",1.-.-.-,1.-.-.-,5.3.1.4,5.3.1.4,4.3.1.18,4.3.1.9,4.1.2.42,4.1.2.42
WP_054597481,-,-,-,1.14.13.149,2.3.1.109,2.-.-.-,3.5.3.6,-,3.5.3.18,3.5.3.-,3.-.-.-,3.-.-.-,6.2.1.39,6.2.1.39,3.5.3.-,3.5.3.6,3.5.3.6,3.-.-.-
WP_054597487,-,-,-,4.1.3.36,"4.2.1.150,4.2.1.149",3.1.-.-,4.2.1.17,3.1.2.4,3.1.2.4,3.1.2.4,3.1.2.4,3.1.2.4,3.1.2.4,"1.13.11.80,3.1.2.4",3.1.2.4,4.2.1.17,3.1.2.4,3.1.2.4
WP_054597488,-,-,-,1.3.8.1,1.3.8.1,1.3.8.-,1.3.8.13,1.3.99.-,1.3.8.1,1.3.8.1,1.3.99.-,1.3.99.-,1.3.99.-,"1.3.99.-,1.3.8.1",1.3.99.-,1.3.8.1,1.3.99.-,"1.3.8.1,1.3.99.-"
WP_054597490,-,-,1.3.8.1,1.3.8.1,"1.3.99.2,1.3.8.1",1.3.99.-,1.3.8.13,1.3.99.-,1.3.8.1,1.3.8.1,1.3.99.-,1.3.1.95,1.3.99.-,1.3.99.-,1.3.99.-,1.3.8.1,1.3.99.-,"1.3.8.1,1.3.99.-"
WP_054597491,-,2.3.1.9,2.3.1.9,2.3.1.9,"2.3.1.16,2.3.1.9",2.3.1.9,2.3.1.16,2.3.1.9,2.3.1.9,2.3.1.9,2.3.1.9,2.3.1.9,2.3.1.9,2.3.1.9,2.3.1.9,2.3.1.9,2.3.1.9,2.3.1.9
WP_054598124,-,-,-,3.5.1.94,3.5.1.94,3.5.1.-,6.3.4.2,3.5.1.94,3.5.1.94,3.5.1.94,3.5.1.94,3.5.1.94,4.1.3.27,"3.5.1.94,2.4.2.-",3.5.1.94,3.5.1.94,3.5.1.94,3.5.1.94
WP_060738105,-,-,-,4.1.2.42,4.1.2.42,4.-.-.-,5.1.1.1,-,4.3.1.27,"4.1.2.42,4.3.1.27",1.-.-.-,1.-.-.-,5.3.1.4,5.3.1.4,5.1.1.5,4.3.1.9,4.1.2.42,4.1.2.42
WP_060738180,-,-,-,3.2.2.8,"3.2.2.1,3.2.2.8",3.2.-.-,3.2.-.-,3.2.-.-,3.2.-.-,3.2.2.3,3.2.2.3,3.2.2.3,3.5.1.38,3.5.1.38,3.2.2.3,3.2.2.3,3.2.-.-,3.2.-.-
WP_060739768,-,2.6.1.19,2.6.1.19,2.6.1.19,"2.6.1.48,2.6.1.19",2.6.1.11,5.4.3.8,2.6.1.48,2.6.1.48,2.6.1.48,2.6.1.48,2.6.1.48,2.6.1.48,"2.6.1.48,2.6.1.22,2.6.1.19",2.6.1.48,2.6.1.39,2.6.1.48,2.6.1.48
WP_060739786,-,-,-,2.8.3.19,"2.8.3.22,2.8.3.19",2.-.-.-,1.2.1.8,2.8.3.13,2.8.3.19,2.8.3.13,2.-.-.-,"2.8.3.19,2.8.3.13",2.8.3.20,"2.8.3.20,2.8.3.16,2.8.3.19,2.8.3.13",2.8.3.19,2.8.3.13,"2.-.-.-,2.8.3.13",2.8.3.13
WP_025216023,-,-,6.3.1.2,6.3.1.11,6.3.1.11,6.3.1.-,6.3.1.2,6.3.1.11,6.3.1.11,6.3.1.11,6.3.1.11,6.3.1.11,"6.3.1.2,6.3.1.11","6.3.1.2,6.3.1.11",6.3.1.2,6.3.1.11,6.3.1.11,6.3.1.11
WP_060740154,-,-,-,3.5.1.94,3.5.1.94,5.-.-.-,6.3.4.2,3.5.1.94,3.5.1.94,3.5.1.94,3.5.1.94,3.5.1.94,3.5.1.94,3.5.1.94,3.5.1.94,3.5.1.94,3.5.1.94,3.5.1.94
WP_060740156,-,-,2.6.1.113,2.6.1.113,"2.6.1.18,2.6.1.113",2.6.1.-,5.4.3.8,2.6.1.113,2.6.1.113,2.6.1.113,2.6.1.113,2.6.1.113,"2.6.1.96,2.6.1.113","2.6.1.18,2.6.1.96,2.6.1.113",2.6.1.18,2.6.1.19,2.6.1.113,2.6.1.113
WP_060740275,-,-,-,1.1.1.108,1.1.1.108,3.1.-.-,3.1.2.28,-,3.1.2.28,3.1.2.28,3.1.2.-,3.1.2.-,3.6.1.59,3.6.1.59,3.1.2.28,1.1.1.108,3.1.2.28,3.1.2.28
WP_060740332,-,-,-,1.3.8.1,1.3.8.1,1.3.8.-,1.3.8.13,1.3.8.-,1.3.8.8,1.3.8.8,1.3.8.1,1.3.8.1,1.3.8.10,1.3.8.10,1.3.8.1,1.3.8.7,"1.3.8.1,1.3.8.-","1.3.8.1,1.3.8.-"
WP_060740336,-,-,-,1.3.8.1,1.3.8.1,1.3.99.-,1.3.8.13,1.3.8.-,1.3.8.9,1.3.8.-,1.3.8.1,1.3.8.1,1.3.8.10,1.3.8.10,1.3.8.-,1.3.8.7,"1.3.8.1,1.3.8.-","1.3.8.1,1.3.8.-"
WP_060740343,-,-,-,3.5.1.100,3.5.1.100,3.5.1.-,3.5.1.4,3.5.-.-,3.5.1.100,3.5.1.100,3.5.-.-,3.5.-.-,3.5.-.-,3.5.-.-,3.5.-.-,3.5.1.30,3.5.-.-,3.5.-.-
WP_060740344,-,-,-,1.13.12.3,1.13.12.3,1.13.-.-,1.1.5.4,1.13.12.3,1.4.3.2,1.13.12.9,1.13.12.3,1.13.12.3,1.4.5.-,1.4.5.-,1.13.12.3,1.13.12.2,1.13.12.3,1.13.12.3
WP_060741122,-,-,-,3.5.1.41,3.5.1.41,3.5.-.-,3.5.1.-,3.5.1.41,3.5.1.41,3.5.1.41,3.5.1.41,3.5.1.41,3.5.1.41,3.5.1.41,3.5.1.41,3.5.2.5,3.5.1.41,3.5.1.41
WP_060741243,-,-,-,3.1.1.17,"3.1.1.99,3.1.1.15",3.1.1.-,3.1.1.31,3.1.1.99,"3.1.1.99,3.1.1.15",3.1.1.99,3.1.1.17,"3.1.1.15,3.1.1.17",3.1.1.99,"3.1.1.99,4.2.2.6",3.1.1.15,3.1.1.15,3.1.1.99,3.1.1.99
WP_060741989,-,-,4.2.1.9,4.2.1.9,4.2.1.25,4.2.1.9,4.2.1.9,4.2.1.-,4.2.1.162,4.2.1.162,4.2.1.-,4.2.1.-,4.2.1.9,4.2.1.9,4.2.1.-,4.2.1.25,4.2.1.9,4.2.1.9
WP_060741991,-,-,-,2.4.99.17,2.4.99.17,3.-.-.-,5.4.4.2,-,4.2.1.141,4.2.1.141,1.-.-.-,1.-.-.-,1.6.5.8,1.6.5.8,7.2.1.2,4.2.1.43,1.-.-.-,2.4.99.17
WP_063321224,-,-,1.3.8.1,1.3.8.1,"1.3.8.6,1.3.99.2,1.3.8.1",1.3.99.-,1.3.8.13,1.3.99.-,1.3.8.1,1.3.8.1,1.3.99.-,1.3.1.95,1.3.99.-,1.3.99.-,1.3.99.-,1.3.8.1,1.3.99.-,"1.3.8.1,1.3.99.-"
WP_063321988,-,-,-,4.1.2.42,4.1.2.42,4.-.-.-,5.1.1.1,-,4.3.1.27,"4.1.2.42,4.3.1.27",1.-.-.-,1.-.-.-,5.3.1.4,5.3.1.4,5.1.1.5,4.3.1.9,4.1.2.42,4.1.2.42
WP_063322430,-,-,-,2.6.1.57,2.6.1.57,2.6.1.1,2.6.1.1,2.6.1.57,"2.6.1.57,2.6.1.107",2.6.1.57,2.6.1.57,2.6.1.57,2.6.1.1,"2.6.1.3,2.6.1.1,2.6.1.57",2.6.1.57,2.6.1.57,2.6.1.57,2.6.1.57
WP_014340747,-,-,-,6.3.1.11,6.3.1.11,6.3.1.-,6.3.1.2,6.3.1.11,6.3.1.11,6.3.1.11,6.3.1.2,6.3.1.11,"6.3.1.2,6.3.1.11","6.3.1.2,6.3.1.11",6.3.1.2,6.3.1.11,6.3.1.11,6.3.1.11
WP_086936699,-,-,-,3.5.1.94,"6.3.4.2,3.5.1.94",5.-.-.-,6.3.4.2,3.5.1.94,3.5.1.94,3.5.1.94,3.5.1.94,3.5.1.94,3.5.1.94,3.5.1.94,6.3.4.2,3.5.1.94,3.5.1.94,3.5.1.94
WP_063323898,-,-,2.6.1.113,2.6.1.113,"2.6.1.18,2.6.1.113",2.6.1.-,5.4.3.8,2.6.1.113,2.6.1.113,2.6.1.113,2.6.1.113,2.6.1.113,"2.6.1.96,2.6.1.113","2.6.1.18,2.6.1.96,2.6.1.113",2.6.1.18,2.6.1.19,2.6.1.113,2.6.1.113
