Q9J5G5	3.6.1.23
B0Y8W7	2.7.11.24;2.7.11.1
Q9QJ37	3.4.19.12
P0DSV1	1.17.4.1
Q80IU7	2.7.7.49;2.7.7.7;3.1.26.4
B0FRF9	2.7.3.3
P68300	1.9.3.1
C6C2Z3	2.6.1.1
Q9IZU7	3.1.3.16;3.1.3.48
Q04574	2.7.7.48;3.4.22.44
A0A0C2SRU0	4.1.1.65
A3FMB2	2.7.7.48;3.6.1.15
P52639	2.1.1.56;2.7.7.48
B6ECN9	1.2.1.8
Q64898	2.7.7.49;2.7.7.7;3.1.26.4
P27153	2.7.7.48
Q8IBN8	3.6.4.13
Q05993	4.1.1.39
F4JWT7	2.1.1.37
Q8IJR9	6.3.5.2
O82415	4.1.1.28;4.1.1.25
Q8V437	3.1.1.53
P13900	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
A0A067XH53	2.5.1.54
P0C9B3	3.6.4.13
Q6X2U2	2.7.7.48;3.6.1.15;3.6.4.13
Q6VMB4	3.4.24.59
P30028	2.7.7.49;2.7.7.7;3.1.26.4
Q6EI12	2.5.1.32
Q9SEC2	1.8.4.11
P59710	3.1.1.53
Q9PMF9	2.7.9.3
Q70CQ2	3.4.19.12
P0C974	2.7.7.7
K2SUY0	2.5.1.29
F2XF96	4.2.3.119;4.2.3.120
A0A0S3QTC6	1.1.1.37
P92481	1.9.3.1
Q9J5S2	2.7.7.49;2.7.7.7;3.1.26.4
Q9E6P5	2.7.1.21
A1KXI1	3.4.21.4
P89509	2.7.7.48;3.4.22.44;3.4.22.45
P04584	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.47
Q6XV43	3.2.1.18
P08326	3.2.1.18
P17594	2.7.7.48;3.4.22.28;3.6.1.15
Q6RZF4	2.7.7.6
P70551	1.97.1.10
Q91BH1	3.4.22.50
P36729	3.6.4.12
Q9YLJ1	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
E1BSI0	2.4.2.30
A3SQG3	4.4.1.25
P32537	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
J7FIX8	2.5.1.29
A4GCL1	3.2.1.18
Q05995	4.1.1.39
P22573	1.5.1.3
P0DXB0	4.2.1.11
Q37430	1.9.3.1
Q672I1	2.7.7.48;3.6.1.15;3.4.22.66
D3U715	4.2.1.91;4.2.1.51
P07564	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
Q9QAB8	2.7.7.49;2.7.7.7;3.1.26.4
P50675	1.9.3.1
P0C6U7	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
Q9GRT1	2.7.11.1
Q67653	2.7.7.48
B1PVZ9	2.7.3.3
P22556	2.7.7.48;3.4.22.44
Q9T9V9	1.9.3.1
Q5AYI7	2.8.1.6
P92662	1.9.3.1
Q9ZXB7	3.2.1.17
P0DSU5	3.6.4.13
G2X4G0	3.2.1.8
Q8JUX5	3.4.21.90
Q05254	2.7.7.7
P08490	2.7.7.48;3.4.22.28;3.6.1.15
P03680	2.7.7.7
A0A1D1VU85	1.15.1.1
P22055	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
E5Y944	1.4.1.1
Q775Q3	2.7.7.6
Q4ZFU2	3.1.4.41;3.1.4.4
O25595	5.1.1.1
Q9QBZ1	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
A0A0B4GDU5	4.2.1.94
P16511	2.7.7.48
Q5PU49	2.7.11.13;2.7.11.1;2.7.10.2
Q67472	2.1.1.37
Q3YPY7	2.7.7.48
A4ZU91	2.7.7.7
P41311	1.9.3.1
P09507	2.7.7.48
A4GCL6	2.7.7.48
A0A0P0XM10	1.5.3.14;1.5.3.15
A0A0R0HPY5	2.7.11.1
Q9IZK2	2.4.1.102;2.4.1.150
P9WEW5	3.4.21.63
Q98199	2.7.7.19
Q93YB2	1.2.1.8
B8YB54	2.7.7.6
Q80950	3.6.4.12
Q50LE4	2.7.7.48
P05803	3.2.1.18
P50643	1.17.4.1
Q66282	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
W5BGD1	4.2.1.19;3.1.3.15
Q8QQ67	2.7.7.19
Q9X6J5	2.4.2.18
Q8TS72	2.1.1.249
Q02119	2.7.7.48
P0C6W6	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
A0R4Q2	6.2.1.3
Q64FP0	2.7.7.48
Q8V2W4	2.7.7.19
Q8BCV9	2.1.1.56;2.7.7.48
F2XFA6	4.2.3.119
Q05112	3.6.4.12
A0A1D8PPK1	1.6.99.1
P28421	4.1.1.39
P0C6Y0	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
C6ZDB5	3.4.21.4
Q539C6	1.9.3.1
Q9HWA7	2.7.13.3
Q69BJ8	1.10.2.2
P26971	1.21.4.2;1.21.4.3;1.21.4.4
Q4QAU9	4.2.1.2
O25806	2.7.7.6
M9PGC5	2.7.11.1
O47710	1.9.3.1
Q0A2Q6	2.7.7.48
O10364	3.4.22.50
P20951	2.7.7.48;3.6.4.13
Q91RA4	2.1.1.56;2.7.7.50
A8C8W6	3.2.1.18
A3SR25	2.3.3.15
P31999	2.7.7.48;3.4.22.44;3.4.22.45
Q8FDI4	2.8.2.22
G0SB20	1.8.1.4
Q05879	2.7.1.21
Q9P4D3	3.1.3.12
B8YB62	2.7.7.6
Q5UP36	6.1.1.16
B5E1U9	2.7.2.3
Q65526	2.1.1.56;2.7.7.50
P19110	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
Q77SJ8	2.1.1.56;2.7.7.48
B5E7F2	6.1.1.11
P13886	2.7.7.48;3.1.3.33;3.6.1.15;3.6.4.13
A1B8Z1	4.1.3.41
A7J390	2.7.7.48
P23992	5.99.1.3
B2BND9	2.1.1.56;2.7.7.50
A0A0S2PM92	2.1.1.160
A4U7A9	3.2.1.18
P30215	3.1.1.53
P07239	3.1.3.48
Q6XQI9	2.7.7.48
P32092	3.6.1.52
A0A075TRC0	2.3.1.165
A0A0P0VIP0	2.7.11.1
Q01500	2.7.7.48;3.4.22.44;3.4.22.45
Q82630	2.7.7.48
P63299	3.6.3.17
Q86500	2.7.7.48;3.6.1.15;3.6.4.13
D4GT97	3.6.1.1
I1RFN8	3.1.1.3
B5E4L2	2.7.1.23
Q2RF98	2.7.7.48
Q5I143	3.1.3.48
B3VI55	2.7.1.170
Q32ZD7	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
Q8BB26	3.1.1.53
P58945	4.2.1.33
P0C987	2.7.7.6
Q4QXJ7	3.4.21.90
P0DOM7	2.7.1.21
P0DJZ9	2.7.7.48;3.4.19.12;3.6.4.12;3.6.4.13
J9VQ06	2.4.1.16
Q934F5	1.2.1.2
Q9EVH7	4.2.1.33
O09705	2.7.7.48
Q8Z0C8	1.1.3.15
C8V4I9	3.2.1.4
L0E163	1.5.1.2
P17593	2.7.7.48;3.4.22.28;3.6.1.15
Q6UY70	2.7.7.48
O83571	2.2.1.1
Q9QAW8	2.7.7.49;2.7.7.7;3.1.26.4
Q65329	3.4.22.45
Q8IV63	2.7.11.1
E3PJ89	3.4.23.43
Q5Z987	2.7.11.1
Q2U0J7	1.2.1.12
Q9LM13	5.4.2.1
Q6EWG9	2.7.7.48
P22678	2.7.7.48
Q83WC8	1.11.1.10
Q9JH49	3.6.4.12
P0DTD1	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
Q67683	2.7.7.48
A0A2I1C3Z1	4.2.1.94
A0A7H0DN36	2.7.7.19
P0DX24	1.1.1.145;5.3.3.1
Q87040	3.1.26.4;2.7.7.49;2.7.7.7
Q6XBH1	3.1.4.17
P80994	3.1.3.48
P36485	4.1.1.39
Q7XQ85	4.4.1.14
Q9G5S9	1.9.3.1
O92815	3.1.26.4;2.7.7.49;2.7.7.7
P14078	2.7.7.49;2.7.7.7;3.1.26.4
B0YA65	2.3.1.9
Q6IP81	3.3.2.6
A0A509ALV6	2.7.11.1
Q3KSM3	2.7.7.48
Q55U20	3.5.1.41
O98883	4.1.1.39
P10533	2.7.11.1
P12823	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
S3DQP8	2.6.1.42
P26670	1.1.1.145;5.3.3.1
P17460	2.7.7.48
P68297	1.9.3.1
P28409	4.1.1.39
Q38SQ5	3.2.1.18
P0DUM9	4.2.1.28
Q6R7K3	1.17.4.1
P50808	3.6.4.12
Q8PY99	6.3.1.2
P20126	2.7.7.48;3.6.4.13
P35928	2.7.7.48;3.6.4.13
P22173	2.7.7.48
Q37547	1.9.3.1
A0A0F6B4W4	3.1.3.25
Q1LW01	3.4.24.21
B8JKD7	2.7.7.6
P27743	6.3.2.26
B5E379	5.3.1.9
Q7T6D2	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
F1B282	1.14.13.11
Q65652	2.7.7.48;3.6.4.13
Q99611	2.7.9.3
A4KX57	2.7.7.7
I1RY35	2.3.3.10
A0A1B3PEI9	4.2.1.59;5.3.3.14
Q7T6X7	2.7.7.6
Q9VF27	1.6.5.3;1.6.99.3;1.6.99.5
O71189	2.7.7.48;3.6.4.13
P26713	1.17.4.1
A0A1L7TZE5	2.1.1.43
A4ZCW6	2.1.1.56;2.7.7.50
I1RXX1	1.1.1.34
P27421	1.5.1.3
P27316	2.7.7.48
P0C9C0	5.99.1.3
Q6XTM7	3.2.1.18
B8B6I2	1.14.13.72
P29150	2.7.7.48
P08768	3.4.21.90
A0A2I9	4.1.1.36;6.3.2.5
Q4JQW2	2.1.1.45
P54634	2.7.7.48;3.6.1.15;3.4.22.66
P26676	2.1.1.56;2.7.7.48
P05664	2.7.7.7
P18555	2.7.1.21
Q8QLK1	3.4.22.50
A7GBG3	3.4.24.69
P72581	5.4.99.20
Q83950	3.6.4.12
P0C8F9	2.7.4.9
P21050	1.8.3.2
C6KEF6	2.7.7.48
P30662	2.7.11.1
O03979	3.5.1.28
Q8MBQ4	3.6.3.14
P23984	3.4.21.97
P32884	3.2.1.18
B7SSM2	2.7.7.7
Q9AXU4	4.3.1.19
Q38S41	1.9.3.1
P50765	3.6.4.12
Q9P2D1	3.6.4.12
P79303	2.7.7.9
P09385	3.2.2.22
P0C6X5	2.7.7.48;3.6.4.12;3.6.4.13;3.4.19.12
P07993	2.7.7.48;3.4.22.44
P03480	3.2.1.18
Q0A2I4	3.2.1.18
Q37691	1.9.3.1
P17766	2.7.7.48;3.4.22.44;3.4.22.45
B2B629	3.2.1.91;3.2.1.4
A0A2K8FTN3	2.8.1.7
A0A1S4DF18	2.4.2.19
P15402	2.7.7.48;3.6.4.13
Q01002	3.4.21.97
P68985	3.4.22.39
Q6DPK0	3.2.1.18
B8DNL1	2.7.9.3
Q50EW2	2.1.1.56;2.7.7.48
P17004	3.1.1.53
Q9N290	2.4.1.228
Q910D6	2.7.7.48
Q9EVG9	1.1.1.85
A8BPK8	2.7.11.1
P29883	1.17.4.1
P0CH86	3.1.1.32
P28413	4.1.1.39
Q4WXT8	2.3.3.10
Q83265	2.7.7.48
Q37416	1.9.3.1
P07392	2.7.7.6
P03155	2.7.7.49;2.7.7.7;3.1.26.4
Q5UQD2	2.7.1.78;3.1.3.32
Q88GJ9	5.1.1.12;5.1.1.5;5.1.1.9;5.1.1.1
P19894	2.7.7.7
W2PEP3	3.2.1.151
A0A140JWS2	2.5.1.29
Q8JU60	3.6.4.13
P75146	2.7.1.69
Q4JQV7	1.17.4.1
Q4D5J7	2.3.1.199
P12553	3.2.1.18
Q35916	1.9.3.1
Q09104	3.2.1.18
G5EEE5	2.3.1.199
P19119	3.4.22.39
A0A0R4IB93	3.4.19.12
O53424	3.1.1.1
Q732F6	6.3.2.9
P09915	2.1.1.37
P0C6W2	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
P33052	2.1.1.57
P03523	2.1.1.56;2.7.7.48
Q8GZD5	2.4.1.207
Q83948	2.7.7.7
O30642	2.1.1.248
Q93XQ4	2.1.1.53;2.5.1.16
A0A1S6M251	2.4.1.274
A0A1D6NER6	2.1.1.103
Q6LY38	1.8.98.1
Q57UP6	2.3.1.199
P29098	2.7.7.48;3.6.4.13
Q2VNC5	2.7.7.48
G3V7J5	3.1.1.1;3.1.1.56;3.1.1.84
G0S196	3.6.3.1
Q90021	3.2.1.18
P62692	3.2.1.17
Q9LKZ2	2.7.11.24
Q9YTU2	2.7.7.48;3.6.4.13
D3U716	4.2.1.51;4.2.1.91
Q5UQI4	1.3.1.21
Q289L9	2.7.7.48
O03067	3.6.3.14
Q9ILI5	2.7.7.48
A1IIX4	1.3.1.32
D9XF46	4.2.1.3
P12462	2.1.1.45
P03156	2.7.7.49;2.7.7.7;3.1.26.4
Q66KP0	2.7.4.6;2.7.13.3
Q7PCJ6	2.7.7.6
Q4QNZ0	2.7.9.3
P00530	2.7.10.2;2.7.11.1;2.7.10.1
P0C6F6	3.4.19.12
C0MHL9	2.7.7.48;3.4.22.28;3.6.1.15
P98037	1.9.3.1
A0A1S3YEG8	1.4.3.16
P03554	2.7.7.49
Q84934	2.7.7.48;3.4.22.44;3.4.22.45
P12498	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
P10835	2.1.1.72
O56075	2.7.7.48;3.4.22.44;3.4.22.45
Q6A2H0	1.2.1.24
Q9Z0D4	3.6.1.3
Q9QB92	2.1.1.56
J9VWT0	2.4.1.16
Q65215	2.7.7.6
P55261	3.4.17.2
P20315	3.6.4.12
Q5B6H0	3.2.1.4
P92665	1.9.3.1
Q4Q0M0	2.7.9.3
A0A2Z6AQX7	2.5.1.29
Q9VZU4	1.6.5.3;1.6.99.3;1.6.99.5
P21974	2.7.1.74
Q4AEH4	1.11.1.9
P00970	6.5.1.1
P45120	4.2.3.3
Q57596	2.1.1.72
G4SLH0	2.7.11.1
Q1LU70	2.5.1.6
Q9QNB1	2.1.1.56;2.7.7.50
Q20PL6	2.7.7.48
A0A0S2T050	2.7.7.48;3.6.4.13
Q89576	3.6.4.13
P0C6F8	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
Q9J593	2.7.7.6
Q196V9	3.1.26.3
Q9WJC7	2.7.7.48;3.1.3.33;3.6.1.15;3.6.4.13
P0C8H7	1.17.4.1
P98047	1.9.3.1
Q20HU6	4.2.3.71;4.2.3.76
A0A8G1A3Q5	3.2.1.14
Q83883	2.7.7.48;3.6.1.15;3.4.22.66
O67441	2.1.2.10
Q00962	2.7.7.49
A4GT88	1.97.1.10
C0HM14	3.1.1.4
Q9WUR3	3.1.27.5
P97313	2.7.11.1
N0A5N4	3.4.21.74
Q4WHT7	2.5.1.18;5.2.1.2
G5DAC6	2.4.1.207
G5EG78	1.11.1.7
P53491	3.1.11.6
B0XMC1	2.3.1.9
O70325	1.11.1.12
P36327	2.7.7.48;3.1.3.33;3.6.1.15;3.6.4.13
O91741	2.7.7.48
P48311	2.7.7.7
Q04610	2.7.7.48
Q5GRY9	2.7.7.6
Q8JJX1	2.7.7.48;3.1.3.33;3.6.1.15;3.6.4.13
P27220	3.6.4.12
P36312	2.7.7.48
Q4WJJ0	2.7.12.2;2.7.11.1
A0A1S4D475	2.4.2.19
B8NFL5	1.14.13.70
G7JIK2	2.7.11.1
P28429	4.1.1.39
Q5AV07	1.3.1.9;2.3.1.38;2.3.1.39;3.1.2.14;4.2.1.59
P14340	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
Q91EK3	3.6.1.3
Q7T6Y4	2.7.7.7
A8QPD8	3.1.1.74
I1RMG9	1.10.3.2
P52552	1.11.1.15
Q67387	3.1.1.53
P0DTH5	2.7.1.21
Q99HS4	2.7.7.49;2.7.7.7;3.1.26.4
Q33323	4.1.1.39
P23172	2.7.7.48
Q8I566	2.1.2.1
B8N2C8	1.14.13.70
P03261	2.7.7.7
P25783	3.4.22.50
P09286	3.4.21.97
Q6XQH2	2.7.7.48
B5X4Z9	2.7.11.1
Q66624	2.7.1.21
P0C9D2	2.7.7.19
Q4AEH3	1.11.1.9
Q2F8F7	2.7.7.19
Q2HRC6	1.5.1.3
P30929	2.1.1.56;2.7.7.48
P13529	2.7.7.48;3.4.22.44;3.4.22.45
Q5AV02	2.6.1.42
Q23357	2.7.11.22
Q6GZT8	1.17.4.1
A0A7H0DN91	2.7.7.6
P93351	4.1.1.17
Q69602	2.7.7.49;2.7.7.7;3.1.26.4
Q9JMH6	1.8.1.9
P03473	3.2.1.18
B4ED80	3.1.3.25
Q4WEB8	2.5.1.10;2.5.1.1
P68762	3.1.1.53
Q07848	3.6.4.12
Q0A451	2.7.7.48
P04293	2.7.7.7;3.1.26.4
G1SPE9	2.3.1.42
Q55932	2.7.13.3
P13871	2.7.7.48
P0DTW0	4.99.1.1
Q5EAK6	2.7.11.1
Q38S62	1.9.3.1
Q12TR2	2.1.1.250
Q58MU6	1.3.7.6
Q6PQD5	2.7.11.1
K9Y645	4.2.3.114;4.2.3.115
Q74MA4	3.6.4.12;5.99.1.3
P0CK06	3.4.22.45
Q2RFA3	3.2.1.18
B7UHZ4	6.3.2.3
Q6UY61	2.7.7.48
I1REU9	3.2.1.4
Q9EVI6	4.2.1.33
Q6EGH7	1.9.3.1
P03111	3.6.4.12
S8FGV1	1.10.3.2
R9WS04	1.13.11.12
A4GCM2	3.2.1.18
P0C9D4	2.7.7.19
A0A1L9UKS1	2.5.1.29
Q9P4D8	5.4.99.5
Q53GS9	3.4.19.12
R9QMW6	4.2.3.121
Q5UQ96	3.6.4.13
P14336	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
Q4WLM9	2.4.1.15
Q07847	3.6.4.12
Q0A2G2	3.2.1.18
Q9IWA0	2.7.7.48
Q8V2R8	2.1.1.56;2.7.7.50;3.1.3.33
P87630	3.6.1.23
P84391	2.7.11.1
Q82685	2.1.1.56;2.7.7.48
Q66578	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
A0A7W3N5X5	2.2.1.2
O36367	3.4.21.97
Q811C4	1.8.1.4
Q05987	4.1.1.39
Q4WAG4	2.5.1.21
P06950	2.7.7.7
P20321	3.1.11.3
Q5UR49	3.6.4.12
D2CSU4	5.4.99.5
P11205	2.1.1.56;2.7.7.48
Q86887	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
Q2VNF0	3.2.1.18
Q6PLS1	2.7.7.48;3.6.4.13
P0C701	1.17.4.1
Q9R101	3.1.1.79
Q80J95	2.7.7.48;3.6.1.15;3.4.22.66
A1Z651	3.1.26.4;2.7.7.49;2.7.7.7
P52541	3.6.1.23
A5UG02	2.7.9.3
A0A2Z5QL08	2.3.1.74
P03157	2.7.7.49;2.7.7.7;3.1.26.4
P0CK01	3.4.22.45
Q6QLN1	2.7.7.48
A0A1L4BJ46	3.1.1.4
P0DOO6	2.7.7.7
Q84356	3.6.4.12
P23764	1.11.1.9
P21097	1.1.1.145;5.3.3.1
Q56775	2.4.1.251
Q7SXE8	2.7.11.23;2.7.11.22
M1W851	4.2.1.94
Q04538	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
P0C6F5	3.4.19.12;3.4.22.69
Q9EMX1	3.1.3.48
Q9KH33	1.1.1.205
P27909	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
B6YXQ1	6.3.2.36
P0C985	2.7.7.7
Q05989	4.1.1.39
P42494	2.7.7.7
O47677	1.9.3.1
P0DOF6	3.2.1.18
A0A1S3YCW2	4.1.1.19
P0DSX6	2.1.1.56;2.7.7.50;3.1.3.33
P14217	3.1.6.1
Q9X6W8	3.4.21.92
Q070J7	2.7.7.19
A0A1L5BTC1	3.8.1.5
Q9QY30	3.6.3.44
C9K7B6	2.6.1.42
P50639	3.2.2.27
Q7K3M5	3.6.4.13
Q9YMV2	6.5.1.1
Q9JFM9	1.8.3.2
Q4DHY3	2.3.1.199
D6R3B6	2.6.1.96
P16207	3.2.1.18
O57184	2.7.7.19
A4U7B4	2.7.7.48
Q06996	2.1.1.56;2.7.7.48
Q4WJI7	3.6.4.12
B2ARG6	3.2.1.4
Q9MRV8	3.6.3.14
Q8WMS6	3.1.3.16;3.1.3.53
Q8J2T0	3.2.1.52
P19811	2.7.7.48;3.4.19.12;3.6.4.12;3.6.4.13
Q01511	2.1.1.72
P20503	1.17.4.1
Q91FU0	3.4.19.12
F6NXI9	2.7.7.72
Q0PW25	2.7.7.48
Q85431	2.7.7.48
P0CJ94	3.4.22.45
E5Y945	2.6.1.77
O36430	2.7.7.48
Q8VWZ1	1.2.1.8
O47705	1.9.3.1
Q9DEI1	2.7.11.1
P29884	2.7.11.1
Q2YDN8	2.7.11.1
A0A1W2PQ27	3.1.3.16
A1VE87	2.7.9.3
O80292	3.2.1.17
P36328	2.7.7.48;3.1.3.33;3.6.1.15;3.6.4.13
P04517	2.7.7.48;3.4.22.44;3.4.22.45
A0A067XGX8	2.5.1.54
Q9W2R3	2.7.1.68
P11623	2.7.7.48
O41798	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
Q67KE6	1.21.4.2;1.21.4.3;1.21.4.4
Q8W9N3	1.9.3.1
Q7T6X6	2.6.1.16
R9QMW3	4.2.3.121
A0A1S4DFD3	2.4.2.19
P05674	3.4.21.90
G4VJD5	5.4.2.1;3.1.3.13;5.4.2.4
P0DSP7	3.2.2.27
Q9C9B9	2.7.1.48
P0CJ98	3.4.22.45
Q05057	2.7.7.48
P48660	1.9.3.1
P36720	3.6.4.12
P18042	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.47;3.4.23.16
Q83045	2.7.7.48;3.6.4.13
J5K1E2	3.2.1.28
Q9N272	2.7.11.24;2.7.11.1
P0C6V7	2.7.7.48;3.6.4.12;3.6.4.13
A0A7H0DN19	3.6.1.23
P68698	5.99.1.2
P0C8K4	2.7.7.6
Q6WB93	2.1.1.56;2.7.7.48
P0C702	1.17.4.1
P93680	3.2.1.14
Q37472	1.9.3.1
P0C9D5	2.7.7.19
P0C6U1	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
Q5UQD9	2.7.7.6
Q18TV3	2.1.1.250
Q9TTC1	3.1.26.4;2.7.7.49;2.7.7.7
Q5CC92	1.10.9.1
P20536	3.2.2.27
P45845	1.4.3.13
K0E4E5	2.3.3.13
Q38SQ0	2.7.7.48
O44074	1.3.5.1
Q37419	1.9.3.1
P03594	2.7.7.48
A0A0E3T3B5	1.2.1.8
P03627	6.5.1.1
Q5UR02	3.1.1.8
