query_ID	profile_ID	query_length	profile_length	align_length	query_from	query_to	profile_from	profile_to	profile_proportion	bit_score	e-value	positive_hit_probability	is_best_overlap	found_catalytic_pattern	profile_linked_ECs
A0A165L336	PRI000091	244	     135	      40	       7	      46	       1	      40	     0.3	   28.44	3.8E-1     	0	F	-	1.1.1.62	
A0A165L336	PRI012724	244	     145	      20	      14	      33	       5	      24	    0.14	   28.12	5.2E-1     	0	F	-	1.1.1.313	
A0A165L336	PRI210231	244	     146	      32	      12	      43	       3	      34	    0.22	   28.31	5.4E-1     	0	F	-	(1.1.1.208)	
A0A165L336	PRI000100	244	     144	      32	       9	      40	       4	      35	    0.22	   28.02	6.2E-1     	0	F	-	1.1.1.178;1.1.1.35	
A0A165L336	PRI000103	244	     131	      38	       7	      43	       2	      39	    0.29	   27.53	7.3E-1     	0	F	-	1.1.1.53	
A0A165L336	PRI000110	244	     136	      32	       7	      36	       3	      34	    0.24	   27.48	7.4E-1     	0	F	-	1.1.1.138	
A0A165L336	PRI004172	244	     782	      93	      17	     104	     196	     287	    0.12	   28.57	8.5E-1     	0	F	-	2.7.7.7	
A0A165L336	PRI014059	244	     137	      24	      13	      36	       8	      31	    0.18	   27.51	8.6E-1     	0	F	-	1.1.1.332	
A0A165L336	PRI001983	244	     279	      38	      19	      56	      12	      45	    0.12	   28.13	8.8E-1     	0	F	-	1.1.1.157	
A0A165L336	PRI011384	244	     312	      33	      30	      62	      40	      72	    0.11	   27.99	8.9E-1     	0	F	-	2.1.1.199	
A0A165L336	PRI002804	244	     125	      33	       9	      41	       1	      33	    0.26	   27.06	9.5E-1     	0	F	-	1.1.1.64	
A0A165L336	PRI012744	244	     125	      42	      10	      51	       3	      44	    0.34	   27.24	9.8E-1     	0	F	-	1.1.1.304	
A0A165IRK1	PRI012082	294	     309	     293	       1	     293	      16	     308	    0.95	  466.77	3E-168     	0.183	T	-	4.2.1.43	
A0A165IRK1	PRI002230	294	     241	     160	       3	     156	      11	     158	    0.61	   44.76	3.8E-6     	0.001	F	-	4.2.1.41	
A0A165IRK1	PRI012920	294	     472	      60	       8	      64	     242	     283	    0.09	   30.37	2.4E-1     	0	F	-	3.2.1.105	
A0A165IRK1	PRI000903	294	     725	      34	     152	     184	     141	     173	    0.05	   29.76	3.9E-1     	0	F	-	3.4.24.71	
A0A165IRK1	PRI014042	294	     102	      25	      80	     104	      53	      77	    0.25	   27.09	9.5E-1     	0.001	F	-	5.1.2.3;4.2.1.17;1.1.1.35	
A0A165IRU8	PRI212791	280	     124	      77	     210	     278	      46	     122	    0.62	   42.64	4.7E-6     	0	T	-	(1.3.1.28)	
A0A165IRU8	PRI012888	280	     138	     133	      33	     161	       2	     134	    0.96	   41.24	1.8E-5     	0	T	-	1.1.1.100	
A0A165IRU8	PRI213011	280	     125	      97	     181	     264	      17	     109	    0.74	   40.29	3.2E-5     	0	F	-	(1.1.1.288)	
A0A165IRU8	PRI000099	280	     133	      39	      36	      74	       5	      43	    0.29	   39.16	9.6E-5     	0	F	-	1.3.1.28	
A0A165IRU8	PRI012763	280	     138	      39	      34	      70	       3	      41	    0.28	   38.32	1.8E-4     	0	F	-	1.3.1.56	
A0A165IRU8	PRI212624	280	     117	      91	     194	     280	      29	     117	    0.76	   38.04	1.9E-4     	0	F	-	(1.1.1.53)	
A0A165IRU8	PRI000115	280	     115	     117	     166	     278	       2	     112	    0.97	   37.19	2.9E-4     	0	F	-	1.1.1.100	
A0A165IRU8	PRI212878	280	     116	     101	     187	     278	      23	     113	    0.78	   36.84	5E-4     	0	F	-	(1.1.1.107)	
A0A165IRU8	PRI000106	280	     142	      28	      41	      68	      10	      37	     0.2	   37.21	5.3E-4     	0	F	-	1.1.1.140	
A0A165IRU8	PRI012744	280	     125	     127	      41	     158	       7	     123	    0.94	   36.49	6.5E-4     	0	F	-	1.1.1.304	
A0A165IRU8	PRI012779	280	     133	      20	      34	      53	       1	      20	    0.15	   35.53	1.5E-3     	0	F	-	1.3.1.38	
A0A165IRU8	PRI003200	280	     130	      31	      33	      63	       1	      31	    0.24	   35.18	2.3E-3     	0	F	-	1.1.1.206	
A0A165IRU8	PRI000091	280	     135	      95	      34	     123	       1	      91	    0.67	   34.99	2.8E-3     	0	F	-	1.1.1.62	
A0A165IRU8	PRI212652	280	     129	     133	     165	     280	       2	     129	    0.99	   34.59	3.1E-3     	0	F	-	(1.1.1.30)	
A0A165IRU8	PRI214539	280	     113	     108	     167	     264	      11	      96	    0.76	   34.05	4.6E-3     	0	F	-	(1.1.1.239;1.1.1.62)	
A0A165IRU8	PRI012707	280	     132	      38	      34	      71	       3	      40	    0.29	   33.99	5.8E-3     	0	F	-	1.1.1.326	
A0A165IRU8	PRI200093	280	     110	      36	     183	     218	      16	      51	    0.33	   33.39	6E-3     	0	F	-	(1.5.1.33)	
A0A165IRU8	PRI212673	280	     116	      87	     197	     269	      33	     105	    0.63	   33.37	6.3E-3     	0	F	-	(1.1.1.10)	
A0A165IRU8	PRI012650	280	     134	      87	      41	     122	       5	      89	    0.63	   33.76	7.7E-3     	0	F	-	1.1.1.36	
A0A165IRU8	PRI000103	280	     131	      70	      34	      94	       2	      70	    0.53	   32.92	1.2E-2     	0	F	-	1.1.1.53	
A0A165IRU8	PRI007268	280	     154	      28	      36	      63	       5	      32	    0.18	   33.03	1.5E-2     	0	F	-	4.2.1.119;4.2.1.107	
A0A165IRU8	PRI210192	280	     115	      81	     196	     266	      31	     102	    0.63	   32.17	2.1E-2     	0	F	-	(1.1.1.184)	
A0A165IRU8	PRI003266	280	     130	      32	      34	      64	       3	      33	    0.24	   32.05	2.3E-2     	0	F	-	1.3.1.19	
A0A165IRU8	PRI212727	280	     116	     121	     167	     278	       1	     112	    0.97	   31.83	2.4E-2     	0	F	-	(1.1.1.311)	
A0A165IRU8	PRI011755	280	     140	      25	      40	      64	      10	      34	    0.18	   30.99	7.5E-2     	0	F	-	1.3.1.87	
A0A165IRU8	PRI000087	280	     133	      27	      34	      60	       1	      27	     0.2	   30.61	7.9E-2     	0	F	-	1.3.1.34	
A0A165IRU8	PRI000078	280	     135	      32	      33	      64	       1	      32	    0.24	   29.82	1.4E-1     	0	F	-	1.1.1.289	
A0A165IRU8	PRI002343	280	     323	      50	      19	      68	     163	     212	    0.15	   30.45	1.9E-1     	0	F	-	3.1.1.41;3.1.1.72	
A0A165IRU8	PRI012813	280	     114	      21	     202	     222	      36	      56	    0.18	   28.74	2.7E-1     	0	F	-	1.1.1.162;1.1.1.10	
A0A165IRU8	PRI012726	280	     127	      68	      42	     100	      10	      68	    0.46	   28.57	3.4E-1     	0	F	-	1.1.1.311	
A0A165IRU8	PRI002583	280	     132	      26	      42	      67	      10	      35	     0.2	   28.61	3.4E-1     	0	F	-	1.1.1.288	
A0A165IRU8	PRI212706	280	     123	      42	     181	     222	      16	      57	    0.34	   28.74	3.5E-1     	0	F	-	(1.1.1.326)	
A0A165IRU8	PRI014537	280	     151	      31	      34	      64	       3	      33	    0.21	    28.5	4.4E-1     	0	F	-	1.1.1.239;1.1.1.62	
A0A165IRU8	PRI210567	280	     145	      28	      36	      63	       5	      32	    0.19	    28.4	5.4E-1     	0	F	-	(4.2.1.119)	
A0A165IRU8	PRI000114	280	     146	      34	      33	      64	       2	      35	    0.23	   28.12	6.2E-1     	0	F	-	1.1.1.10	
A0A165IRU8	PRI000108	280	     143	      93	      27	     113	       5	      86	    0.57	   28.14	7.3E-1     	0	F	-	1.1.1.233	
A0A165IRU8	PRI000557	280	     247	      45	     119	     163	      78	     122	    0.18	   28.33	7.6E-1     	0	F	-	2.3.1.61	
A0A165IRU8	PRI003381	280	     125	      48	      34	      81	       2	      45	    0.35	   27.46	9.1E-1     	0	F	-	1.1.1.51	
A0A165IRU8	PRI014059	280	     137	      22	      42	      63	      10	      31	    0.16	   27.51	9.2E-1     	0	F	-	1.1.1.332	
A0KWY1	PRI011886	586	     541	     541	      35	     568	       1	     541	       1	  787.93	0E0     	0.011	T	-	4.2.1.25	
A0KWY1	PRI001230	586	     585	     568	      50	     568	      30	     582	    0.95	  389.76	1.4E-129     	0.014	F	-	4.2.1.9	
A0KWY1	PRI001231	586	     568	     441	     126	     519	      96	     518	    0.74	   73.94	1.6E-14     	0	F	-	4.2.1.12	
A0KWY1	PRI010094	586	     142	     157	     393	     537	       1	     142	       1	   49.37	6.8E-8     	0.003	F	-	4.2.1.9	
A0KWY2	PRI210192	256	     115	     102	     142	     241	       1	     101	    0.88	   48.35	3.3E-8     	0	T	-	(1.1.1.184)	
A0KWY2	PRI212624	256	     117	     127	     142	     256	       1	     117	       1	   45.74	3E-7     	0	F	-	(1.1.1.53)	
A0KWY2	PRI000115	256	     115	     117	     143	     254	       3	     112	    0.96	   44.51	8.9E-7     	0	F	-	1.1.1.100	
A0KWY2	PRI212652	256	     129	     108	     163	     256	      25	     129	    0.81	   43.83	1.6E-6     	0	F	-	(1.1.1.30)	
A0KWY2	PRI000081	256	     128	     136	       9	     133	       1	     123	    0.96	   43.24	2.4E-6     	0	T	-	1.1.1.69	
A0KWY2	PRI010152	256	     127	      74	      11	      84	       1	      74	    0.58	   42.75	3.9E-6     	0	F	-	5.1.3.2	
A0KWY2	PRI000103	256	     131	      39	      10	      48	       2	      40	     0.3	   42.17	8E-6     	0	F	-	1.1.1.53	
A0KWY2	PRI212625	256	     122	     113	     142	     241	       1	     105	    0.86	   41.87	8.4E-6     	0	F	-	(1.1.1.51)	
A0KWY2	PRI003865	256	     124	      62	      12	      71	       1	      56	    0.45	   40.54	2.2E-5     	0	F	-	1.1.1.295	
A0KWY2	PRI212617	256	     117	      79	     141	     210	       2	      79	    0.67	   39.12	6.4E-5     	0	F	-	(1.1.1.69)	
A0KWY2	PRI002583	256	     132	      34	      10	      43	       2	      35	    0.26	   38.24	1.7E-4     	0	F	-	1.1.1.288	
A0KWY2	PRI212878	256	     116	      35	     160	     194	      20	      54	     0.3	   37.22	2.8E-4     	0	F	-	(1.1.1.107)	
A0KWY2	PRI213011	256	     125	      83	     172	     242	      32	     111	    0.64	   37.21	3.2E-4     	0	F	-	(1.1.1.288)	
A0KWY2	PRI213056	256	     116	      58	     143	     198	       1	      58	     0.5	   36.01	8.6E-4     	0	F	-	(1.1.1.250)	
A0KWY2	PRI212994	256	     119	      27	     228	     254	      92	     118	    0.23	   36.08	8.9E-4     	0	F	-	(1.1.1.295)	
A0KWY2	PRI212727	256	     116	      36	     163	     198	      21	      56	    0.31	   35.68	1E-3     	0	F	-	(1.1.1.311)	
A0KWY2	PRI012650	256	     134	      54	      77	     127	      67	     120	     0.4	   36.07	1.1E-3     	0	F	-	1.1.1.36	
A0KWY2	PRI000099	256	     133	      36	      12	      47	       5	      40	    0.27	   34.92	2.7E-3     	0	F	-	1.3.1.28	
A0KWY2	PRI200083	256	     118	      45	     157	     198	      18	      59	    0.36	    34.1	3.3E-3     	0	F	-	(1.1.1.36)	
A0KWY2	PRI212791	256	     124	     109	     159	     254	      19	     122	    0.84	   34.17	3.4E-3     	0	F	-	(1.3.1.28)	
A0KWY2	PRI003381	256	     125	      35	      10	      44	       2	      36	    0.28	      34	4.2E-3     	0	F	-	1.1.1.51	
A0KWY2	PRI212834	256	     122	      74	     143	     213	      14	      79	    0.54	   34.21	4.2E-3     	0	F	-	(1.1.1.138)	
A0KWY2	PRI012803	256	     114	      38	     157	     194	      15	      52	    0.33	   33.75	5.1E-3     	0	F	-	1.1.1.178;1.1.1.35	
A0KWY2	PRI212815	256	     115	      49	     150	     198	       9	      57	    0.43	   33.35	6.2E-3     	0	F	-	(1.1.1.159)	
A0KWY2	PRI014059	256	     137	      64	      15	      74	       6	      64	    0.43	   33.67	7.1E-3     	0	F	-	1.1.1.332	
A0KWY2	PRI213034	256	     121	      86	     160	     236	      21	     101	    0.67	   33.31	8.1E-3     	0	F	-	(1.1.1.269)	
A0KWY2	PRI212781	256	     120	      53	     143	     194	       2	      54	    0.44	   33.06	9.9E-3     	0	F	-	(1.3.1.34)	
A0KWY2	PRI212673	256	     116	      50	     163	     212	      23	      72	    0.43	   32.99	1E-2     	0	F	-	(1.1.1.10)	
A0KWY2	PRI012707	256	     132	      83	      10	      88	       3	      67	    0.49	   32.45	1.5E-2     	0	F	-	1.1.1.326	
A0KWY2	PRI011755	256	     140	      26	      15	      40	       9	      34	    0.19	   32.53	1.8E-2     	0	F	-	1.3.1.87	
A0KWY2	PRI214539	256	     113	      36	     163	     198	      21	      56	    0.32	   32.12	1.9E-2     	0	F	-	(1.1.1.239;1.1.1.62)	
A0KWY2	PRI000110	256	     136	      99	       9	      99	       2	      94	    0.68	   30.95	6.4E-2     	0	F	-	1.1.1.138	
A0KWY2	PRI012813	256	     114	     107	     166	     254	      32	     112	    0.71	   29.89	1.1E-1     	0	F	-	1.1.1.162;1.1.1.10	
A0KWY2	PRI012000	256	     354	      39	      30	      54	      78	     116	    0.11	   30.69	1.3E-1     	0	F	-	2.6.1.92	
A0KWY2	PRI213139	256	     111	      45	     162	     199	      22	      62	    0.37	   29.44	1.4E-1     	0	F	-	(1.17.99.5)	
A0KWY2	PRI000106	256	     142	      26	      19	      44	      12	      37	    0.18	   29.89	1.6E-1     	0	F	-	1.1.1.140	
A0KWY2	PRI212830	256	     140	      43	     152	     194	      17	      54	    0.27	   29.66	1.9E-1     	0	F	-	(1.1.1.140)	
A0KWY2	PRI212847	256	     117	      61	     141	     198	       2	      59	     0.5	   29.09	1.9E-1     	0	F	-	(1.1.1.127)	
A0KWY2	PRI003027	256	     127	      38	      10	      47	       3	      40	     0.3	   28.99	2.1E-1     	0	F	-	1.1.1.14	
A0KWY2	PRI212619	256	     118	     109	     143	     241	       1	     102	    0.86	   28.47	3E-1     	0	F	-	(1.1.1.62)	
A0KWY2	PRI012888	256	     138	     139	       9	     137	       2	     134	    0.96	   28.91	3.2E-1     	0	F	-	1.1.1.100	
A0KWY2	PRI000105	256	     124	      50	      14	      62	       9	      56	    0.39	   28.21	3.8E-1     	0	F	-	1.17.99.5	
A0KWY2	PRI002429	256	     122	      26	      18	      43	       6	      31	    0.21	      28	5.9E-1     	0	F	-	1.1.1.141	
A0KWY2	PRI212651	256	     117	      48	     157	     203	      16	      62	     0.4	   27.79	6.6E-1     	0	F	-	(1.1.1.35)	
A0KWY2	PRI012763	256	     138	      40	       1	      40	       1	      33	    0.24	   27.92	6.6E-1     	0	F	-	1.3.1.56	
A0KWY3	PRI000438	351	     353	     344	      20	     348	      13	     353	    0.97	  253.72	7.3E-83     	0.91	T	-	5.1.3.3	
A0KWY3	PRI207425	351	     353	     347	      30	     349	      25	     353	    0.93	   86.37	1.3E-19     	0.002	F	-	(5.1.3.2)	
A0KWZ9	PRI011284	300	     299	     210	      87	     291	      83	     292	     0.7	  105.88	2.3E-27     	0.002	T	-	3.1.1.17	
A0KWZ9	PRI012129	300	     300	     297	       7	     298	       8	     296	    0.96	   80.13	5.5E-18     	0	F	-	3.1.1.15	
A0KWZ9	PRI009195	300	     385	     159	      17	     169	     149	     293	    0.38	    28.6	8.1E-1     	0	F	-	3.6.4.12	
A0KYX7	PRI011506	385	     385	     385	       1	     377	       1	     384	       1	   270.2	1.7E-88     	0.001	T	-	1.3.8.1	
A0KYX7	PRI012179	385	     383	     384	       3	     377	       3	     383	    0.99	  190.86	8.1E-58     	0.001	F	-	1.3.8.7	
A0KYX7	PRI012182	385	     381	     380	       6	     376	       2	     379	    0.99	  150.05	2.2E-42     	0	F	-	1.3.8.4	
A0KYX7	PRI012181	385	     376	     258	     118	     364	     109	     362	    0.68	   145.8	7.6E-41     	0	F	-	1.3.8.5	
A0KYX7	PRI012177	385	     378	     388	       1	     373	       1	     378	       1	  115.36	1.2E-29     	0	F	-	1.3.99.32	
A0KYX7	PRI012178	385	     375	     271	     117	     375	     108	     373	    0.71	    99.2	7.2E-24     	0	F	-	1.3.8.8	
A0KYX7	PRI012176	385	     380	     274	     113	     373	     112	     380	    0.71	   87.22	1.3E-19     	0	F	-	1.3.8.9	
A0KYX7	PRI012180	385	     376	     224	      99	     299	      99	     304	    0.55	   51.43	8E-8     	0	F	-	1.3.8.6	
A0KYX7	PRI012175	385	     394	     431	       1	     377	       1	     394	       1	   51.09	9.7E-8     	0	F	-	1.3.8.3	
A0KYX7	PRI001482	385	     183	      76	     308	     373	     100	     175	    0.42	   30.04	3.1E-1     	0.001	F	-	2.7.7.62;2.7.1.156	
A0KYX7	PRI013187	385	     385	      91	     283	     353	      30	     116	    0.23	    29.3	8.4E-1     	0	F	-	1.4.1.18	
A0KZW9	PRI012058	302	     294	     280	      12	     291	       4	     282	    0.95	  113.34	3.7E-30     	0.001	T	-	2.7.1.8	
A0KZW9	PRI000727	302	     260	     249	      11	     237	       1	     247	    0.95	   58.59	1.2E-10     	0.002	F	-	2.7.1.59	
G8AJX1	PRI011506	599	     385	     377	      89	     445	      49	     374	    0.85	  104.57	7.7E-25     	0	T	-	1.3.8.1	
G8AJX1	PRI012178	599	     375	     310	     138	     445	      94	     365	    0.73	   76.48	1.1E-15     	0	F	-	1.3.8.8	
G8AJX1	PRI012181	599	     376	     177	     135	     307	      92	     251	    0.43	   64.91	7.5E-12     	0	F	-	1.3.8.5	
G8AJX1	PRI012182	599	     381	     204	      98	     299	      56	     246	     0.5	   56.83	2.6E-9     	0	F	-	1.3.8.4	
G8AJX1	PRI012179	599	     383	     299	     165	     445	     125	     373	    0.65	   42.94	6.4E-5     	0	F	-	1.3.8.7	
G8AJX1	PRI012176	599	     380	      34	     412	     445	     341	     374	    0.09	   34.83	2.8E-2     	0	F	-	1.3.8.9	
B2SWP8	PRI002858	1195	     343	     372	      28	     385	       2	     341	    0.99	   66.58	4.6E-12     	0.001	T	-	1.2.7.8	
B2SWP8	PRI206524	1195	     203	     218	     438	     617	       5	     203	    0.98	   44.22	2.3E-5     	0.001	T	-	(1.2.7.8)	
B2SWP8	PRI002049	1195	     198	      74	     731	     804	       4	      74	    0.36	   43.01	7.1E-5     	0.001	T	-	1.2.7.8	
B2SWQ5	PRI013790	427	     409	     402	      36	     408	      17	     407	    0.96	   71.66	3.2E-14     	0.003	T	-	5.1.3.11	
B2SWQ5	PRI000726	427	     402	      80	     305	     380	     284	     363	     0.2	   31.26	1.9E-1     	0	F	-	5.1.3.8	
B2SWQ5	PRI000726	427	     402	      30	     304	     333	      29	      58	    0.07	    30.1	5.8E-1     	0	F	-	5.1.3.8	
B2SX46	PRI011506	595	     385	     326	     142	     455	     104	     382	    0.72	   97.64	1.5E-22     	0	T	-	1.3.8.1	
B2SX46	PRI012181	595	     376	     318	     138	     448	      93	     366	    0.73	   61.82	7E-11     	0	F	-	1.3.8.5	
B2SX46	PRI012182	595	     381	     141	     100	     235	      56	     189	    0.35	   47.58	2.3E-6     	0	F	-	1.3.8.4	
B2SX46	PRI012176	595	     380	     164	     150	     447	     107	     374	    0.41	   73.52	3.5E-5     	0	F	-	1.3.8.9	
B2SX46	PRI012179	595	     383	      56	     396	     448	     319	     374	    0.15	   32.54	1.2E-1     	0	F	-	1.3.8.7	
B2T518	PRI000297	321	     317	     311	       4	     307	       6	     316	    0.98	  334.77	1.2E-115     	0	T	-	1.1.1.215	
B2T518	PRI000298	321	     316	     318	       4	     307	       1	     315	       1	  282.48	3.6E-95     	0.902	F	-	1.1.1.81;1.1.1.79	
B2T518	PRI000296	321	     316	     259	      56	     307	      59	     316	    0.82	  253.82	6.6E-84     	0	F	-	1.1.1.26	
B2T518	PRI000293	321	     312	     295	       3	     288	       2	     291	    0.93	  151.86	2.6E-44     	0	F	-	1.1.1.95	
B2T518	PRI000294	321	     335	     268	      63	     305	      71	     335	    0.79	  144.25	2.7E-41     	0	F	-	1.1.1.29	
B2T518	PRI000292	321	     282	     156	     136	     282	     111	     255	    0.51	   92.44	2.2E-22     	0	F	-	1.1.1.290	
B2T518	PRI012728	321	     301	     178	     121	     288	     122	     286	    0.55	   79.76	1.1E-17     	0	F	-	1.1.1.310	
B2T518	PRI000295	321	     302	     210	      64	     262	      56	     251	    0.65	   77.17	8.9E-17     	0	F	-	1.1.1.28	
B2T518	PRI003468	321	     287	     254	      72	     302	      47	     283	    0.83	   56.66	7.5E-10     	0	F	-	1.20.1.1	
B2T518	PRI002711	321	     292	     142	     138	     275	     116	     255	    0.48	   55.14	2.1E-9     	0	F	-	1.2.1.2	
B2SY89	PRI002166	365	      97	     101	      79	     179	       1	      94	    0.97	   65.77	2.9E-14     	0	T	-	1.1.1.103	
B2SY89	PRI002165	365	     107	     112	      79	     189	       1	     107	       1	   62.81	3.4E-13     	0	F	-	1.1.1.14	
B2SY89	PRI212883	365	      90	      85	     190	     274	       4	      88	    0.94	   55.29	1.3E-10     	0	F	-	(1.1.1.103)	
B2SY89	PRI002155	365	     124	     127	      82	     191	       4	     124	    0.98	   48.61	6.2E-8     	0.016	F	-	1.1.1.1	
B2SY89	PRI212664	365	      98	      95	     190	     276	       4	      98	    0.97	   45.46	3.8E-7     	0	F	-	(1.1.1.14)	
B2SY89	PRI214392	365	      70	      44	      35	      78	      30	      70	    0.59	   42.14	2.8E-6     	0	F	-	(1.1.1.2)	
B2SY89	PRI212666	365	      88	      59	     303	     360	      30	      88	    0.67	   42.22	4.7E-6     	0	T	-	(1.1.1.14)	
B2SY89	PRI011764	365	     120	      45	      82	     126	       4	      45	    0.35	   41.06	2.5E-5     	0	F	-	1.2.1.76	
B2SY89	PRI212984	365	      94	      78	     189	     264	       6	      83	    0.83	   40.02	2.9E-5     	0	F	-	(1.1.1.1)	
B2SY89	PRI012750	365	      96	     102	      79	     177	       1	      93	    0.97	   39.99	3.5E-5     	0	F	-	1.1.1.301	
B2SY89	PRI002151	365	     104	      96	      98	     184	      17	     103	    0.84	   38.53	1.1E-4     	0	F	-	1.1.1.9	
B2SY89	PRI003449	365	     107	      37	      72	     108	       5	      38	    0.32	   36.96	4.8E-4     	0	F	-	1.1.1.4	
B2SY89	PRI002156	365	     133	      47	      82	     127	       4	      47	    0.33	   37.31	5.8E-4     	0	F	-	1.1.1.284	
B2SY89	PRI214393	365	      69	      47	      32	      78	      28	      69	    0.61	   34.73	1.4E-3     	0	F	-	(1.1.1.1)	
B2SY89	PRI212975	365	      98	      88	     188	     269	       4	      91	     0.9	   35.01	1.7E-3     	0	F	-	(1.1.1.9)	
B2SY89	PRI014073	365	      90	      39	     111	     149	      30	      65	     0.4	   34.58	2.5E-3     	0	F	-	1.1.1.329	
B2SY89	PRI212749	365	      90	      79	     188	     259	       1	      74	    0.82	   33.68	4.2E-3     	0	F	-	(1.1.1.301)	
B2SY89	PRI002437	365	     122	      39	      82	     120	       4	      39	     0.3	   34.46	5.2E-3     	0	F	-	1.1.1.284;1.1.1.1;1.1.1.73	
B2SY89	PRI002154	365	     140	      40	      82	     120	       4	      41	    0.27	    33.4	1.5E-2     	0	F	-	1.1.1.2	
B2SY89	PRI212748	365	      85	      73	     277	     347	       1	      72	    0.85	   29.82	1.2E-1     	0	F	-	(1.1.1.301)	
B2SY89	PRI213054	365	      87	      43	     190	     232	       3	      45	    0.49	   29.13	1.6E-1     	0	F	-	(1.1.1.251)	
B2SY89	PRI212671	365	     107	      44	     188	     229	       2	      43	    0.39	   28.96	2.9E-1     	0	F	-	(1.1.1.12)	
B2SY89	PRI213015	365	      93	      73	     188	     257	       4	      75	    0.77	   28.76	3E-1     	0	F	-	(1.1.1.284)	
B2SY89	PRI211759	365	     117	      49	     109	     149	      28	      76	    0.42	   28.05	7.8E-1     	0	F	-	(1.2.99.4)	
B2SYA3	PRI212665	260	     126	     125	     135	     259	       2	     126	    0.99	  195.93	8.7E-65     	0.047	T	-	(1.1.1.14)	
B2SYA3	PRI010305	260	     128	     126	     135	     256	       1	     126	    0.98	   97.34	3.2E-26     	0.001	F	-	1.1.1.304	
B2SYA3	PRI003027	260	     127	     141	       4	     130	       2	     126	    0.98	   84.45	1.9E-21     	0	T	-	1.1.1.14	
B2SYA3	PRI000115	260	     115	     124	     136	     259	       3	     115	    0.98	   78.41	2.9E-19     	0	F	-	1.1.1.100	
B2SYA3	PRI212727	260	     116	     106	     155	     256	      20	     112	     0.8	   69.58	7.2E-16     	0	F	-	(1.1.1.311)	
B2SYA3	PRI012613	260	     124	     121	     136	     256	       2	     122	    0.98	   69.56	8.5E-16     	0	F	-	1.1.1.76;1.1.1.304	
B2SYA3	PRI212847	260	     117	     129	     135	     259	       3	     117	    0.98	   58.36	8.9E-12     	0	F	-	(1.1.1.127)	
B2SYA3	PRI212830	260	     140	     142	     136	     259	       3	     140	    0.99	   55.09	2.2E-10     	0	F	-	(1.1.1.140)	
B2SYA3	PRI012726	260	     127	      91	       4	      91	       1	      87	    0.69	   50.91	6.2E-9     	0	F	-	1.1.1.311	
B2SYA3	PRI003753	260	     130	     127	       9	     119	       2	     117	    0.89	   50.58	6.4E-9     	0	F	-	1.1.1.268	
B2SYA3	PRI212652	260	     129	     126	     136	     258	       4	     128	    0.97	   50.38	7.8E-9     	0	F	-	(1.1.1.30)	
B2SYA3	PRI212624	260	     117	     125	     135	     256	       1	     115	    0.98	   49.59	1.4E-8     	0	F	-	(1.1.1.53)	
B2SYA3	PRI012763	260	     138	     126	       4	     117	       2	     125	     0.9	   49.49	2.2E-8     	0	F	-	1.3.1.56	
B2SYA3	PRI012792	260	     135	      96	       4	      90	       1	      91	    0.67	    49.5	2.3E-8     	0	F	-	1.3.1.25	
