P13559	3.2.1.17
Q6WNV6	2.1.1.56;2.7.7.50
P06950	2.7.7.7
P59710	3.1.1.53
B1VB81	2.7.2.15;2.7.2.1
Q6TXB9	3.2.1.18
A0A0U3BRC5	2.5.1.29;2.5.1.10;2.5.1.1
P68295	1.9.3.1
C6KEF6	2.7.7.48
Q9R4G8	1.21.4.2
P80209	3.4.23.5
Q6WI70	2.7.7.7
B5X564	2.7.11.22;2.7.11.1
P04041	1.11.1.9
A7FTE0	1.21.4.2;1.21.4.3;1.21.4.4
Q9YQR5	2.7.7.48
B8QIR1	3.5.1.28
Q8MJ14	1.11.1.9
I1LHU6	1.3.1.45
Q9YPV8	2.7.7.49;2.7.7.7;3.1.26.4
Q8IJP2	3.4.11.18
Q9HWA7	2.7.13.3
Q6DNS4	2.7.7.48
Q1X881	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
B7ZK61	3.4.21.63
Q31672	4.1.1.39
P00658	3.1.27.5
Q9P9M9	2.1.1.249
J9VWT0	2.4.1.16
Q9QSR3	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
Q5I139	3.1.3.48
Q84687	2.7.7.48;3.6.4.13
Q01319	1.17.4.1
Q7T6Y9	1.17.4.1
I1Z695	2.7.11.1
H6VGI3	2.7.3.3
P10272	3.1.26.4;2.7.7.49;2.7.7.7
P11227	3.1.26.4;2.7.7.49;2.7.7.7
Q9QB92	2.1.1.56
Q070J7	2.7.7.19
P27209	2.7.7.48
B9A1H3	1.8.1.9
P49896	1.97.1.10
J5K1E2	3.2.1.28
A1ZAW0	3.1.26.3
Q03495	2.7.7.48
Q65946	2.7.7.7
A0A5J6BJT3	3.2.1.4
Q8SPN5	3.1.27.5
Q9NDJ2	3.6.4.12
Q2I3G8	1.9.3.1
P07998	3.1.27.5
A0A0A1C930	1.1.1.34
P05960	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
A0A386JVA3	2.5.1.1;2.5.1.10
P0DXC8	4.3.1.1
B8JKD7	2.7.7.6
Q9MCN8	3.1.22.4
P0C988	2.7.7.6
P19787	6.3.2.26
Q9YID8	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
Q9FKS4	2.7.11.1
Q02597	2.7.7.48;3.4.22.44;3.4.22.45
P28966	2.7.11.1
Q05554	4.1.1.39
B5E2R3	2.5.1.75
Q6DPH9	3.2.1.18
Q8Z0C8	1.1.3.15
P00406	1.9.3.1
A4X981	6.3.2.9
P39915	2.5.1.19
B0LDU6	2.3.1.74
Q811C4	1.8.1.4
P16604	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
Q696W0	2.7.11.1
Q539C6	1.9.3.1
P20637	3.6.1.15
Q5RFG3	1.11.1.9
P61154	1.2.99.5
Q59599	6.3.5.5
Q7IZ11	1.9.3.1
I1RR90	1.3.1.70
K4LLQ2	3.4.21.74
P26121	2.7.7.48
P92418	2.7.7.6
A0A1P7Y0A2	2.5.1.21
M1LL92	3.2.2.27
Q4D5J7	2.3.1.199
Q81999	3.6.4.12
Q4JA78	2.3.3.13
Q64FP0	2.7.7.48
A0A077EW86	2.1.1.104
A0A7H0DNE5	2.7.4.9
P03313	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
Q7SVK7	3.1.26.4;2.7.7.49;2.7.7.7
P16785	3.4.19.12
Q50EW2	2.1.1.56;2.7.7.48
P04329	3.4.23.44
Q5UQG7	2.7.11.1
I1RBR4	1.14.13.70
Q38SQ0	2.7.7.48
A2VBC4	3.1.1.32
P03314	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
B1NKT7	2.7.7.48
Q57UP7	2.3.1.199
Q7RZT9	2.7.11.1
Q5UQ59	6.1.1.19
B1NKU3	2.1.1.56;2.7.7.50
P0C6V7	2.7.7.48;3.6.4.12;3.6.4.13
P16753	3.4.21.97
P28409	4.1.1.39
Q9CIF0	2.7.1.69
J9VWH9	2.1.1.43
Q2FWH7	2.7.13.3
Q6X2U2	2.7.7.48;3.6.1.15;3.6.4.13
P0C9C4	3.6.1.23
Q9IZT2	3.6.1.23
Q9FEY5	2.3.1.74
Q9WYJ1	4.3.1.19
Q0A429	2.7.7.48
B5E6L9	2.3.1.46
Q91B85	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
O37319	3.6.1.15
Q91ZI8	1.97.1.11
Q0GBY0	2.1.1.56;2.7.7.48
P03308	2.7.7.48;3.4.22.28;3.4.22.46;3.6.1.15
P70551	1.97.1.10
A0A1D8PD39	1.1.1.34
A4UHQ7	2.1.1.56;2.7.7.48
Q69028	2.7.7.49;2.7.7.7;3.1.26.4
Q796C3	4.2.1.137
P20659	2.1.1.43
P08327	3.2.1.18
P96368	2.7.13.3
O77334	3.1.3.48
Q9Y8A5	2.3.1.161
A0A1B0GUS4	6.3.2.19
Q9P4D8	5.4.99.5
Q0A2D9	2.7.7.48
Q20HU7	4.2.3.120;4.2.3.119
P35743	3.2.1.18
O24023	1.13.11.51
P27316	2.7.7.48
Q8GZ99	2.7.11.1
Q98VG9	2.7.7.48;3.6.4.12;3.6.4.13;3.4.19.12
Q20992	1.3.3.6
Q98803	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
Q88261	3.2.1.18
P75146	2.7.1.69
A0A0H3C7E9	5.4.3.8
P0C8G1	2.7.4.9
P0C580	1.11.1.21
O55748	3.1.26.3
P16507	2.7.7.48
A0A2I0BVG8	2.7.11.1
I1REU9	3.2.1.4
Q9E6S5	2.7.7.49;2.7.7.7;3.1.26.4
A5K3U9	3.4.11.1;3.4.11.10
O91734	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
A0A2Z5QL08	2.3.1.74
Q8JN60	2.7.7.48;3.4.22.66;3.6.1.15
O09705	2.7.7.48
A0A1L4BJ46	3.1.1.4
C9K7D8	2.6.1.42
P22338	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
P26810	3.1.26.4;2.7.7.49;2.7.7.7
P04025	3.1.26.4;2.7.7.49;2.7.7.7;3.6.1.23
P0C8H7	1.17.4.1
F8VPZ3	3.4.19.12
Q5UQE1	6.3.5.4
Q8QMQ7	2.7.4.9
R9WTS6	1.13.11.12
P14084	2.7.10.2
O24972	2.7.13.3
P03190	1.17.4.1
P06479	2.7.1.21
P0C211	2.7.7.49;2.7.7.7;3.1.26.4
P35741	3.2.1.18
P39877	3.1.1.4
P0DTE7	3.2.1.1
Q6QGJ5	2.1.1.45
P13159	2.7.1.21
O98766	3.6.3.14
P03360	3.1.26.4;2.7.7.49;2.7.7.7
Q4WHT9	1.13.11.5
Q04561	2.7.7.48;3.4.19.12;3.6.4.12;3.6.4.13
P75442	2.7.7.18
O83759	6.3.5.1
P42802	5.5.1.4
Q9Q944	2.7.7.19
P85109	3.4.21.74
P04293	2.7.7.7;3.1.26.4
Q8JTG9	2.1.1.56;2.7.7.48
A2QTW5	1.14.13.12
Q9Q0V0	2.7.7.48
Q8WT44	3.4.19.12
Q857H2	1.17.4.2
P28392	4.1.1.39
S0EQ07	5.5.1.19;2.5.1.32
Q9PT51	3.4.21.74
Q8JMY7	2.7.7.49;2.7.7.7;3.1.26.4
Q59W33	1.1.1.8
P0C6T8	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
P0DO50	4.2.1.1
P03253	3.4.22.39
P00415	1.9.3.1
P0DOM7	2.7.1.21
Q9ZSQ4	5.4.2.2
G9N4A3	6.1.1.18
Q9LRI8	1.3.3.4
P03593	2.7.7.48
Q4JQX9	3.4.19.12
Q7T6D2	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
P12498	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
P25869	6.3.2.19
P08519	3.4.21.7
Q66662	1.17.4.1
P07059	3.1.21.1
Q07FI2	3.2.1.18
Q6UY70	2.7.7.48
Q80HT9	2.7.4.9
Q8W519	2.1.1.12
O08550	2.1.1.43
B2DEU8	2.1.2.1
P21050	1.8.3.2
Q4X1A8	2.7.11.1
P13846	2.7.7.49;2.7.7.7;3.1.26.4
P19189	6.5.1.1
Q02049	3.6.4.12
Q09106	3.2.1.18
Q74M79	3.6.4.12;5.99.1.3
P03484	3.2.1.18
I6YDK7	6.4.1.4
Q6LH20	1.21.4.2;1.21.4.3;1.21.4.4
P84391	2.7.11.1
Q1PCB1	2.7.1.35
C6S3N3	2.1.1.56;2.7.7.48
Q9LM13	5.4.2.1
P05961	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
P13888	2.7.7.48;3.1.3.33;3.6.1.15;3.6.4.13
Q9WJB2	2.7.7.48;3.4.19.12;3.6.4.12;3.6.4.13
Q9IFX2	2.7.7.48
Q6UDK6	3.4.21.97
A0A1C9J6A7	4.2.3.20
Q33528	4.1.1.39
P51715	2.1.1.72
Q99D35	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
B4YA15	2.5.1.10;2.5.1.1
Q38RW5	1.9.3.1
P41712	2.7.7.7
P12933	2.7.7.49;2.7.7.7;3.1.26.4
Q4WM52	5.3.3.2
Q7IZ21	1.9.3.1
Q5J6J3	3.4.14.5
O93215	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
Q9U6W0	3.1.1.32
Q9AXU4	4.3.1.19
Q65667	2.7.7.48;3.6.4.13
O91464	2.7.7.48
P50762	3.6.4.12
P0CK32	2.7.7.48
P0C6U0	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
P0C0W7	2.1.1.250
Q70PP2	2.7.11.1
Q07574	3.2.1.18
Q05569	2.7.7.6
P16502	2.7.7.48
Q8CBC7	2.1.1.205
A0A1L3THR9	3.2.1.14
A0A1S4DF18	2.4.2.19
Q55932	2.7.13.3
P17005	3.1.1.53
Q1HK97	1.9.3.1
Q3ZU95	3.1.1.32;3.1.1.4
Q5I145	3.1.3.48
Q8IKM8	3.4.19.12
P27410	2.7.7.48;3.4.22.66;3.6.1.15
B6HLT9	2.3.1.164
P68294	1.9.3.1
O36367	3.4.21.97
P04536	3.1.11.1
Q6V1Q2	2.1.1.56;2.7.7.48
Q9Q8R9	2.7.7.19
Q73368	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
Q33323	4.1.1.39
Q6ZRS2	3.6.4.12
F8QQQ7	4.1.1.33
Q3KSU8	3.4.19.12
O62768	1.8.1.9
Q08436	3.6.3.6
P20495	3.1.3.48
B7N6P4	1.1.3.15
P44534	3.5.4.13
Q5B7I7	3.4.25.1
Q84356	3.6.4.12
Q8JVC2	2.7.7.48
P0DOM2	2.7.7.19
E9QY26	1.14.13.70
P23371	2.7.7.19
P50687	1.9.3.1
Q37873	3.1.22.4
Q37369	1.9.3.1
Q8QPK2	3.2.1.18
Q05112	3.6.4.12
P0C6V0	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
P0DTD1	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
P06935	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
P11352	1.11.1.9
P0DSZ8	3.6.1.23
Q9ZZY5	1.9.3.1
P00435	1.11.1.9
Q9QSK2	2.7.7.7;3.1.26.4
K5VN09	3.2.1.4
P11623	2.7.7.48
P12870	3.4.23.44
P33497	2.7.10.1;2.7.11.1
P54891	2.7.7.48;3.6.4.13
Q2F5L3	2.1.2.1
Q8L5K3	4.2.3.20
A1IIX4	1.3.1.32
Q07599	3.2.1.18
Q809M7	2.7.7.48
P19703	2.7.7.48
Q50LE4	2.7.7.48
Q9PSN3	3.4.21.74
A0A067XMP0	1.10.3.2
P46412	1.11.1.9
Q65243	3.6.1.23
Q38PR9	1.9.3.1
P36488	4.1.1.39
A7J3A2	2.7.7.48
P67923	3.2.1.18
F9VPA4	2.6.1.16
Q9P2D1	3.6.4.12
P0C9E1	2.5.1.29;2.5.1.1;2.5.1.10
A0A221J5X3	1.3.1.3
B1NKS9	2.7.7.48
P13897	3.4.21.90
Q9QBZ1	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
Q05579	4.1.1.39
A2VD68	2.7.4.6;2.7.13.3
Q07847	3.6.4.12
A3KF10	3.2.1.18
P03159	2.7.7.49;2.7.7.7;3.1.26.4
A5U3A6	2.7.11.1
P36722	3.6.4.12
P04587	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
P22591	2.7.7.48;3.6.4.13
A0A478ECY3	3.2.1.4
Q9DG83	3.4.21.74
Q6DNS5	2.7.7.48
Q9YKD6	2.7.7.48;3.6.4.13
P36479	4.1.1.39
Q8JUX5	3.4.21.90
G4N7S6	2.3.1.48
P13025	2.7.7.48
Q01365	3.4.22.45
P03478	3.2.1.18
B7TWW5	1.14.13.132
Q01901	2.7.7.48;3.4.22.44;3.4.22.45
P36485	4.1.1.39
P25242	2.7.7.48;3.4.22.44
P23373	1.8.3.2
M4ISH1	6.2.1.3
Q9VQQ0	5.2.1.8
Q6VTL7	3.4.22.50
Q5I3B1	1.97.1.11
P44907	3.1.13.1
P0C9A5	3.6.4.13
Q6XV24	3.2.1.18
Q3KSQ2	2.7.1.21
P03477	3.2.1.18
Q8QZ72	3.4.21.90
P07717	6.5.1.1
G3V7J5	3.1.1.1;3.1.1.56;3.1.1.84
P34203	5.99.1.3
Q83WC8	1.11.1.10
P03430	2.7.7.48
Q6UY61	2.7.7.48
Q8LPD9	2.7.11.1
P04363	2.7.1.21
P69545	6.5.1.1
Q6DNS2	2.7.7.48
Q5AV07	1.3.1.9;2.3.1.38;2.3.1.39;3.1.2.14;4.2.1.59
P55073	1.97.1.11
Q6GZR5	2.7.7.7;3.1.26.4
Q9G0U1	1.9.3.1
Q66165	3.1.1.53
O47694	1.9.3.1
A7LAC6	3.4.21.74
Q6NZR5	3.6.4.13
P06856	2.7.7.7
A0A2H5AIW0	4.3.1.24
Q7T6X5	2.7.7.6
Q9NR09	6.3.2.19
V5IVB1	2.7.7.48
Q5UQR0	2.7.7.7
B3F2X7	2.1.1.56;2.7.7.50
P41311	1.9.3.1
Q3Y6B8	3.4.24.84
Q9T9Y6	1.9.3.1
P11948	1.9.3.1
P22799	1.15.1.1
P17192	2.7.7.49;2.7.7.7;3.1.26.4
Q31750	4.1.1.39
Q72XC1	2.7.1.21
P69185	2.7.1.21
Q9HGI3	3.2.1.52
P07918	2.7.7.7;3.1.26.4
P21974	2.7.1.74
P28846	1.17.4.1
Q01034	3.6.1.23
O82521	2.6.1.96
Q9QSK1	5.99.1.3
F1P963	3.6.1.55;3.6.1.56
G0SB20	1.8.1.4
P0C9A7	3.6.4.13
Q0GP30	2.7.7.19
Q55CU2	3.1.11.6
W6QIT2	1.1.1.205
Q9QTF2	1.17.4.1
Q5B6H0	3.2.1.4
Q05135	3.6.4.12
Q80E12	2.7.7.19
Q38S08	1.9.3.1
P0C6T5	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
Q074N0	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
P04495	2.7.7.7
Q6DPL2	3.2.1.18
P08490	2.7.7.48;3.4.22.28;3.6.1.15
P69186	2.7.1.21
Q5I137	3.1.3.48
G0LES5	4.2.3.6
Q34941	1.9.3.1
A0A0P0ZD79	2.5.1.29
P09503	1.5.1.3
Q8PY99	6.3.1.2
P32989	5.99.1.2
A0A0J9XKT0	3.2.1.4
P03366	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
O48374	1.9.3.1
A0A858E7J4	2.5.1.29
A0A2H3EDS0	3.2.1.4
P10186	3.2.2.27
Q8BYH8	3.6.4.12
Q02836	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
O72540	2.7.7.7
Q9EA41	2.7.7.48
Q9J592	3.1.3.48
F7VNF8	3.4.21.53
O47705	1.9.3.1
P93400	3.1.4.4
Q9M3G7	2.7.11.1
Q5UPZ0	6.5.1.2
Q5UNU9	2.1.1.63
A0A067XRK9	2.4.1.207
P52216	1.21.4.2;1.21.4.3;1.21.4.4
B5E5J6	6.3.3.1
Q9WC28	2.7.7.48
P06474	1.17.4.1
Q84VX4	2.7.11.1
Q8V9U2	3.6.4.13
P30314	2.7.7.7
A0A8B0RBM2	3.1.1.1
Q6DNS3	2.7.7.48
C8V4I9	3.2.1.4
P17765	2.7.7.48;3.4.22.44;3.4.22.45
Q6XQI4	2.7.7.48
Q65730	2.7.7.48;3.4.22.44;3.4.22.45
Q06886	3.2.1.91
A0A7H0DNE2	1.1.1.145;5.3.3.1
Q32QL6	1.11.1.12
A0A1S6M251	2.4.1.274
Q4DUK7	2.3.1.199
Q94MV8	3.6.1.12
Q05991	4.1.1.39
P33052	2.1.1.57
P03594	2.7.7.48
Q9I4F8	2.7.13.3
Q9PX62	2.7.7.49;2.7.7.7;3.1.26.4
P0C6X4	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
Q83927	2.7.7.48
O71188	3.6.4.13;2.7.7.48
Q196U0	2.7.7.7
T2KN98	5.3.1.17
F1QWW8	1.1.1.102
O89049	1.8.1.9
A8BPK8	2.7.11.1
H2N0D4	3.2.1.1
Q00095	2.7.11.1
P0DOO1	2.7.7.6
B3E7F7	2.7.9.3
Q99HS4	2.7.7.49;2.7.7.7;3.1.26.4
Q9YUD3	3.6.1.3
Q05134	3.6.4.12
A2AJK6	3.6.4.12
P89462	1.17.4.1
P07203	1.11.1.9
P36725	3.6.4.12
Q5YD76	3.1.4.41
Q9VCN1	2.7.7.7
A0A068CNX1	3.4.22.16
P14085	2.7.10.2
Q9J544	2.7.7.6
Q67724	3.6.4.13;2.7.7.48
Q8V2R8	2.1.1.56;2.7.7.50;3.1.3.33
P18250	4.2.1.33
F2XFA4	4.2.3.120;4.2.3.119
Q5NDM9	2.7.7.48
Q9Z0D5	3.6.1.3
Q67KE6	1.21.4.2;1.21.4.3;1.21.4.4
A0A499UB99	1.4.3.3
Q5R746	3.6.4.13
Q89581	3.6.4.13
P19758	3.2.1.18
P53357	3.1.1.32;3.1.1.4
Q66403	2.7.7.49;2.7.7.7;3.1.26.4
Q5WQY5	3.4.21.90
Q8IJA9	3.5.4.4
A0A024SC78	3.1.1.74
P89079	3.6.1.23
Q83948	2.7.7.7
Q75VQ0	3.2.1.18
Q6XBH1	3.1.4.17
Q3B7D2	2.3.1.50
Q20NV8	3.2.1.18
E0Y420	3.4.21.74
Q96631	2.7.7.48
P0C8H9	1.17.4.1
Q9YWK4	3.4.22.50
Q5UQ46	3.6.4.13
Q05111	3.6.4.12
Q9CAC3	2.7.11.1
Q9VC56	3.4.19.12
Q8BB16	3.6.1.3
Q6W8W4	2.7.7.48
Q8JV21	2.7.7.48;3.6.1.15
I3SL57	1.14.99.3
D3U716	4.2.1.51;4.2.1.91
Q9MU81	3.6.3.14
P28859	2.7.7.7
A0A0R0HPY5	2.7.11.1
Q32890	4.1.1.39
P09866	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
A0A7H0DN62	2.7.7.6
P77868	3.6.3.4
Q8W3Z3	5.4.99.8
P42494	2.7.7.7
Q89277	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
Q8NEZ4	2.1.1.43
P68547	2.7.7.6
A0KLG5	5.1.1.1;5.1.1.12;5.1.1.5;5.1.1.9
P92225	2.7.7.6
Q02314	2.7.7.49;2.7.7.7;3.1.26.4
P0C9D2	2.7.7.19
Q3ZJ90	2.7.7.6
P55262	2.7.1.20
P37800	2.7.7.48
F2XF93	4.2.3.119
G3XAP7	3.2.1.4
P31352	2.1.1.56;2.7.7.48
Q8SQ09	3.1.27.5
Q9T9W8	1.9.3.1
A0KH11	5.1.1.1
P14403	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
B5LAT8	1.1.1.195
Q6XKE6	2.7.7.49
A0A1D8PTW6	2.3.3.10
P15054	2.7.10.2
P0C6F2	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.16
Q5A888	1.1.1.270
P50761	3.6.4.12
O36404	3.6.1.23
P33468	3.1.1.53
E3W206	4.2.3.112
Q6SW77	2.7.7.7;3.1.26.4
Q96711	2.7.7.48
P0C998	3.6.1.52
P18096	2.7.7.49;2.7.7.7;3.1.13.2;3.1.26.13;3.4.23.47
Q8UUJ2	3.4.21.74
A0A2R2JFW7	3.5.3.1
P22173	2.7.7.48
P18030	2.1.2.8
Q1HVH9	3.4.19.12
P0DW99	2.3.1.180
Q705G8	3.6.4.12
Q2XSC4	4.2.3.81
P31625	3.6.1.23
Q07582	3.2.1.18
P0C984	2.7.7.7
A5UG02	2.7.9.3
P25464	6.3.2.26
P0DSV2	1.17.4.1
W3XEE6	4.2.1.94
Q9SPN1	4.2.3.26
P0C6W5	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
F4J0D2	2.7.11.1
A0A509AHB6	2.7.11.1
Q6DDT4	4.2.99.18
G1SPE9	2.3.1.42
Q5BHE2	2.7.11.1
Q89525	3.6.4.13
A0A0P0XCU3	2.4.1.21
Q17CS8	2.6.1.7;4.4.1.13
Q57079	6.4.1.3
Q99IE7	2.7.7.48;3.6.1.15;3.6.4.13
P06421	3.6.4.12
Q95N00	1.97.1.10
A0A0D4WV12	3.1.4.41
Q9MRV8	3.6.3.14
F8VPZ5	3.6.4.12
Q8BKX6	2.7.11.1
Q8JN66	3.4.22.39
O62139	1.3.3.6
P17395	2.7.7.49;2.7.7.7;3.1.26.4
P58945	4.2.1.33
Q5IS82	2.7.10.1
Q65657	3.4.22.45
O32378	2.7.1.39
O47687	1.9.3.1
Q05486	2.7.7.49;2.7.7.7;3.1.26.4
P27462	2.7.7.48
O93661	2.1.1.249
A0A0P0UZP7	4.4.1.14
Q8DMC5	2.7.13.3
Q66765	2.7.7.48;3.4.22.28;3.6.1.15
Q0QF17	1.3.5.1
Q8QMV9	2.1.1.56;2.7.7.50;3.1.3.33
Q9E6N9	2.7.7.7;3.1.26.4
P07570	3.6.1.23
Q6WQ42	2.7.7.48;3.4.22.28;3.6.1.15
P26192	2.1.1.56;2.7.7.50
P21034	2.7.7.6
Q2F9P4	3.4.21.21
P98038	1.9.3.1
A6YQT5	2.7.7.48;3.4.19.12;3.6.4.12;3.6.4.13
Q6XQH2	2.7.7.48
P07885	3.4.22.39
A0A061AE05	2.7.1.25;2.7.7.4
P28885	3.2.1.18
B3EWJ0	3.1.27.5
P17459	2.7.7.48
P15629	2.7.7.49
P0C6T4	3.4.19.12;3.4.22.69;2.7.7.48;3.6.4.12;3.6.4.13
P04531	2.7.4.13
Q9Q921	2.7.7.6
B2BNE0	2.7.7.48
P98035	1.9.3.1
P0C8I2	1.17.4.1
P93962	2.7.7.6
Q5UQG3	1.5.1.3;2.1.1.45
Q9EVH6	2.3.3.13
P11079	2.1.1.56;2.7.7.50
Q91DM0	2.7.7.49
Q9PT41	3.4.21.95
P79303	2.7.7.9
P03301	2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15
Q82851	2.7.7.49;3.1.13.2;3.1.26.13;2.7.7.7
Q8JMZ7	2.7.7.49;2.7.7.7;3.1.26.4
P28855	2.7.1.21
R9QMY8	4.2.3.121;4.2.3.119
Q4AEI3	1.11.1.9
Q91C36	2.7.7.49;2.7.7.7;3.1.26.4
O56075	2.7.7.48;3.4.22.44;3.4.22.45
C8V530	3.2.1.4
P87744	2.7.7.49;2.7.7.7;3.1.26.4
Q96662	2.7.7.48;3.6.1.15;3.6.4.13;3.4.21.113
P03600	2.7.7.48
Q85437	2.7.7.50
O92604	2.7.7.48
P24656	3.1.3.48
P0C9D5	2.7.7.19
Q2TXG3	1.3.1.9;2.3.1.38;2.3.1.39;3.1.2.14;4.2.1.59
Q9WNW0	2.7.7.48
Q38135	3.5.1.28
Q8B0H0	2.1.1.56;2.7.7.48
O45734	3.4.22.15
P52340	3.4.19.12
E3W205	4.2.3.112
Q69SP5	2.7.11.1
P50759	3.6.4.12
P29045	2.7.7.48
Q1XDD0	1.10.3.9
Q5VVH2	5.2.1.8
A8E1C4	3.4.19.12
Q37691	1.9.3.1
P07720	2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13
Q1K9Q1	3.2.1.18
P30738	2.7.7.48;3.6.4.13
Q85036	2.7.7.48
Q67387	3.1.1.53
P31183	4.1.1.39
P33459	2.7.7.49;3.1.13.2;3.1.26.13;2.7.7.7;3.6.1.23
Q2Y2L8	2.1.1.56;2.7.7.48
Q4TWH8	2.7.7.48
Q91QZ3	2.7.7.48;3.6.4.13
P24658	2.1.1.56;2.7.7.48
Q197A8	6.5.1.2
Q9R101	3.1.1.79
Q8JSD9	3.2.1.18
Q8TS72	2.1.1.249
O82415	4.1.1.28;4.1.1.25
P0C989	2.7.7.6
P80878	1.11.1.6
Q6H956	1.10.3.9
Q6DPK2	3.2.1.18
O24527	2.7.11.1
R9QMR3	4.2.3.121;4.2.3.119
