query_ID	profile_ID	query_length	profile_length	align_length	query_from	query_to	profile_from	profile_to	profile_proportion	bit_score	e-value	positive_hit_probability	is_best_overlap	found_catalytic_pattern	profile_linked_ECs
WP_063462990	PRI212652	280	     129	     133	     165	     280	       2	     129	    0.99	   34.59	3.1E-3     	0	F	-	(1.1.1.30)	
WP_063462990	PRI214539	280	     113	     108	     167	     264	      11	      96	    0.76	   34.05	4.6E-3     	0	F	-	(1.1.1.239;1.1.1.62)	
WP_063462990	PRI012707	280	     132	      38	      34	      71	       3	      40	    0.29	   33.99	5.8E-3     	0	F	-	1.1.1.326	
WP_063462990	PRI200093	280	     110	      36	     183	     218	      16	      51	    0.33	   33.39	6E-3     	0	F	-	(1.5.1.33)	
WP_063462990	PRI212673	280	     116	      87	     197	     269	      33	     105	    0.63	   33.37	6.3E-3     	0	F	-	(1.1.1.10)	
WP_063462990	PRI012650	280	     134	      87	      41	     122	       5	      89	    0.63	   33.76	7.7E-3     	0	F	-	1.1.1.36	
WP_063462990	PRI000103	280	     131	      70	      34	      94	       2	      70	    0.53	   32.92	1.2E-2     	0	F	-	1.1.1.53	
WP_063462990	PRI007268	280	     154	      28	      36	      63	       5	      32	    0.18	   33.03	1.5E-2     	0	F	-	4.2.1.119;4.2.1.107	
WP_063462990	PRI210192	280	     115	      81	     196	     266	      31	     102	    0.63	   32.17	2.1E-2     	0	F	-	(1.1.1.184)	
WP_063462990	PRI003266	280	     130	      32	      34	      64	       3	      33	    0.24	   32.05	2.3E-2     	0	F	-	1.3.1.19	
WP_063462990	PRI212727	280	     116	     121	     167	     278	       1	     112	    0.97	   31.83	2.4E-2     	0	F	-	(1.1.1.311)	
WP_063462990	PRI011755	280	     140	      25	      40	      64	      10	      34	    0.18	   30.99	7.5E-2     	0	F	-	1.3.1.87	
WP_063462990	PRI000087	280	     133	      27	      34	      60	       1	      27	     0.2	   30.61	7.9E-2     	0	F	-	1.3.1.34	
WP_063462990	PRI000078	280	     135	      32	      33	      64	       1	      32	    0.24	   29.82	1.4E-1     	0	F	-	1.1.1.289	
WP_063462990	PRI002343	280	     323	      50	      19	      68	     163	     212	    0.15	   30.45	1.9E-1     	0	F	-	3.1.1.41;3.1.1.72	
WP_063462990	PRI012813	280	     114	      21	     202	     222	      36	      56	    0.18	   28.74	2.7E-1     	0	F	-	1.1.1.162;1.1.1.10	
WP_063462990	PRI012726	280	     127	      68	      42	     100	      10	      68	    0.46	   28.57	3.4E-1     	0	F	-	1.1.1.311	
WP_063462990	PRI002583	280	     132	      26	      42	      67	      10	      35	     0.2	   28.61	3.4E-1     	0	F	-	1.1.1.288	
WP_063462990	PRI212706	280	     123	      42	     181	     222	      16	      57	    0.34	   28.74	3.5E-1     	0	F	-	(1.1.1.326)	
WP_063462990	PRI014537	280	     151	      31	      34	      64	       3	      33	    0.21	    28.5	4.4E-1     	0	F	-	1.1.1.239;1.1.1.62	
WP_063462990	PRI210567	280	     145	      28	      36	      63	       5	      32	    0.19	    28.4	5.4E-1     	0	F	-	(4.2.1.119)	
WP_063462990	PRI000114	280	     146	      34	      33	      64	       2	      35	    0.23	   28.12	6.2E-1     	0	F	-	1.1.1.10	
WP_063462990	PRI000108	280	     143	      93	      27	     113	       5	      86	    0.57	   28.14	7.3E-1     	0	F	-	1.1.1.233	
WP_063462990	PRI000557	280	     247	      45	     119	     163	      78	     122	    0.18	   28.33	7.6E-1     	0	F	-	2.3.1.61	
WP_063462990	PRI002429	280	     122	      31	      41	      67	       5	      31	    0.22	   27.61	8.6E-1     	0	F	-	1.1.1.141	
WP_063462990	PRI003381	280	     125	      48	      34	      81	       2	      45	    0.35	   27.46	9.1E-1     	0	F	-	1.1.1.51	
WP_063462990	PRI014059	280	     137	      22	      42	      63	      10	      31	    0.16	   27.51	9.2E-1     	0	F	-	1.1.1.332	
WP_041412631	PRI011886	586	     541	     541	      35	     568	       1	     541	       1	  787.93	0E0     	0.011	T	-	4.2.1.25	
WP_041412631	PRI001230	586	     585	     568	      50	     568	      30	     582	    0.95	  389.76	1.3E-129     	0.014	F	-	4.2.1.9	
WP_041412631	PRI001231	586	     568	     441	     126	     519	      96	     518	    0.74	   73.94	1.6E-14     	0	F	-	4.2.1.12	
WP_041412631	PRI010094	586	     142	     157	     393	     537	       1	     142	       1	   49.37	6.8E-8     	0.003	F	-	4.2.1.9	
WP_041412631	PRI013145	586	     135	      32	     411	     439	      63	      94	    0.24	   28.64	9.5E-1     	0	F	-	4.2.3.106;4.2.3.105	
WP_011717048	PRI000438	351	     353	     344	      20	     348	      13	     353	    0.97	  253.72	7.3E-83     	0.91	T	-	5.1.3.3	
WP_011717048	PRI207425	351	     353	     347	      30	     349	      25	     353	    0.93	   86.37	1.3E-19     	0.002	F	-	(5.1.3.2)	
WP_011717048	PRI211545	351	      68	      15	      85	      99	      11	      25	    0.22	   26.58	9.2E-1     	0	F	-	(1.14.13.76)	
WP_011717064	PRI011284	300	     299	     210	      87	     291	      83	     292	     0.7	  105.88	2.3E-27     	0.002	T	-	3.1.1.17	
WP_011717064	PRI012129	300	     300	     297	       7	     298	       8	     296	    0.96	   80.13	5.5E-18     	0	F	-	3.1.1.15	
WP_011717064	PRI009195	300	     385	     159	      17	     169	     149	     293	    0.38	    28.6	8.1E-1     	0	F	-	3.6.4.12	
WP_011717945	PRI012058	302	     294	     280	      12	     291	       4	     282	    0.95	  113.34	3.7E-30     	0.001	T	-	2.7.1.8	
WP_011717945	PRI000727	302	     260	     249	      11	     237	       1	     247	    0.95	   58.59	1.2E-10     	0.002	F	-	2.7.1.59	
WP_014239822	PRI011506	599	     385	     377	      89	     445	      49	     374	    0.85	  104.57	7.7E-25     	0	T	-	1.3.8.1	
WP_014239822	PRI012178	599	     375	     310	     138	     445	      94	     365	    0.73	   76.48	1.1E-15     	0	F	-	1.3.8.8	
WP_014239822	PRI012181	599	     376	     177	     135	     307	      92	     251	    0.43	   64.91	7.5E-12     	0	F	-	1.3.8.5	
WP_014239822	PRI012182	599	     381	     204	      98	     299	      56	     246	     0.5	   56.83	2.6E-9     	0	F	-	1.3.8.4	
WP_014239822	PRI012179	599	     383	     299	     165	     445	     125	     373	    0.65	   42.94	6.4E-5     	0	F	-	1.3.8.7	
WP_014239822	PRI012176	599	     380	      34	     412	     445	     341	     374	    0.09	   34.83	2.8E-2     	0	F	-	1.3.8.9	
WP_012431492	PRI013790	427	     409	     402	      36	     408	      17	     407	    0.96	   71.66	3.2E-14     	0.003	T	-	5.1.3.11	
WP_012431492	PRI000726	427	     402	      80	     305	     380	     284	     363	     0.2	   31.26	1.9E-1     	0	F	-	5.1.3.8	
WP_012431492	PRI000726	427	     402	      30	     304	     333	      29	      58	    0.07	    30.1	5.8E-1     	0	F	-	5.1.3.8	
WP_012431722	PRI011506	595	     385	     326	     142	     455	     104	     382	    0.72	   97.64	1.5E-22     	0	T	-	1.3.8.1	
WP_012431722	PRI012181	595	     376	     318	     138	     448	      93	     366	    0.73	   61.82	7E-11     	0	F	-	1.3.8.5	
WP_012431722	PRI012182	595	     381	     141	     100	     235	      56	     189	    0.35	   47.58	2.3E-6     	0	F	-	1.3.8.4	
WP_012431722	PRI012176	595	     380	     164	     150	     447	     107	     374	    0.41	   73.52	3.5E-5     	0	F	-	1.3.8.9	
WP_012431722	PRI012179	595	     383	      56	     396	     448	     319	     374	    0.15	   32.54	1.2E-1     	0	F	-	1.3.8.7	
WP_012434194	PRI002166	365	      97	     101	      79	     179	       1	      94	    0.97	   65.77	2.9E-14     	0	T	-	1.1.1.103	
WP_012434194	PRI002165	365	     107	     112	      79	     189	       1	     107	       1	   62.81	3.4E-13     	0	F	-	1.1.1.14	
WP_012434194	PRI212883	365	      90	      85	     190	     274	       4	      88	    0.94	   55.29	1.3E-10     	0	F	-	(1.1.1.103)	
WP_012434194	PRI002155	365	     124	     127	      82	     191	       4	     124	    0.98	   48.61	6.2E-8     	0.016	F	-	1.1.1.1	
WP_012434194	PRI212664	365	      98	      95	     190	     276	       4	      98	    0.97	   45.46	3.8E-7     	0	F	-	(1.1.1.14)	
WP_012434194	PRI214392	365	      70	      44	      35	      78	      30	      70	    0.59	   42.14	2.8E-6     	0	F	-	(1.1.1.2)	
WP_012434194	PRI212666	365	      88	      59	     303	     360	      30	      88	    0.67	   42.22	4.7E-6     	0	T	-	(1.1.1.14)	
WP_012434194	PRI011764	365	     120	      45	      82	     126	       4	      45	    0.35	   41.06	2.5E-5     	0	F	-	1.2.1.76	
WP_012434194	PRI212984	365	      94	      78	     189	     264	       6	      83	    0.83	   40.02	2.9E-5     	0	F	-	(1.1.1.1)	
WP_012434194	PRI012750	365	      96	     102	      79	     177	       1	      93	    0.97	   39.99	3.5E-5     	0	F	-	1.1.1.301	
WP_012434194	PRI002151	365	     104	      96	      98	     184	      17	     103	    0.84	   38.53	1.1E-4     	0	F	-	1.1.1.9	
WP_012434194	PRI003449	365	     107	      37	      72	     108	       5	      38	    0.32	   36.96	4.8E-4     	0	F	-	1.1.1.4	
WP_012434194	PRI002156	365	     133	      47	      82	     127	       4	      47	    0.33	   37.31	5.8E-4     	0	F	-	1.1.1.284	
WP_012434194	PRI214393	365	      69	      47	      32	      78	      28	      69	    0.61	   34.73	1.4E-3     	0	F	-	(1.1.1.1)	
WP_012434194	PRI212975	365	      98	      88	     188	     269	       4	      91	     0.9	   35.01	1.7E-3     	0	F	-	(1.1.1.9)	
WP_012434194	PRI014073	365	      90	      39	     111	     149	      30	      65	     0.4	   34.58	2.5E-3     	0	F	-	1.1.1.329	
WP_012434194	PRI212749	365	      90	      79	     188	     259	       1	      74	    0.82	   33.68	4.2E-3     	0	F	-	(1.1.1.301)	
WP_012434194	PRI002437	365	     122	      39	      82	     120	       4	      39	     0.3	   34.46	5.2E-3     	0	F	-	1.1.1.284;1.1.1.1;1.1.1.73	
WP_012434194	PRI002154	365	     140	      40	      82	     120	       4	      41	    0.27	    33.4	1.5E-2     	0	F	-	1.1.1.2	
WP_012434194	PRI212748	365	      85	      73	     277	     347	       1	      72	    0.85	   29.82	1.2E-1     	0	F	-	(1.1.1.301)	
WP_012434194	PRI213054	365	      87	      43	     190	     232	       3	      45	    0.49	   29.13	1.6E-1     	0	F	-	(1.1.1.251)	
WP_012434194	PRI212671	365	     107	      44	     188	     229	       2	      43	    0.39	   28.96	2.9E-1     	0	F	-	(1.1.1.12)	
WP_012434194	PRI213015	365	      93	      73	     188	     257	       4	      75	    0.77	   28.76	3E-1     	0	F	-	(1.1.1.284)	
WP_012434194	PRI211759	365	     117	      49	     109	     149	      28	      76	    0.42	   28.05	7.8E-1     	0	F	-	(1.2.99.4)	
WP_012434194	PRI012672	365	     100	      80	      98	     175	      17	      91	    0.75	   27.67	8.6E-1     	0	F	-	1.1.1.12	
WP_012434361	PRI000115	266	     115	     117	     152	     264	       2	     112	    0.97	   61.08	8.9E-13     	0	T	-	1.1.1.100	
WP_012434361	PRI210192	266	     115	      93	     173	     264	      22	     114	    0.81	   51.04	4.4E-9     	0	F	-	(1.1.1.184)	
WP_012434361	PRI212652	266	     129	     133	     152	     265	       3	     128	    0.98	   46.53	2.3E-7     	0	F	-	(1.1.1.30)	
WP_012434361	PRI212673	266	     116	     102	     172	     264	      22	     114	     0.8	   44.93	6.8E-7     	0	F	-	(1.1.1.10)	
WP_012434361	PRI003027	266	     127	     126	      26	     143	       7	     121	    0.91	   44.78	7.8E-7     	0	T	-	1.1.1.14	
WP_012434361	PRI212727	266	     116	     126	     153	     264	       1	     112	    0.97	   42.61	3.6E-6     	0	F	-	(1.1.1.311)	
WP_012434361	PRI213056	266	     116	      58	     153	     208	       1	      58	     0.5	    41.4	1E-5     	0	F	-	(1.1.1.250)	
WP_012434361	PRI212847	266	     117	     133	     153	     265	       4	     116	    0.97	   40.26	2.5E-5     	0	F	-	(1.1.1.127)	
WP_012434361	PRI212791	266	     124	      83	     195	     264	      45	     122	    0.63	   40.33	2.6E-5     	0	F	-	(1.3.1.28)	
WP_012434361	PRI214539	266	     113	     117	     153	     264	       1	     110	    0.97	   39.44	4.2E-5     	0	F	-	(1.1.1.239;1.1.1.62)	
WP_012434361	PRI212617	266	     117	      47	     173	     219	      24	      70	     0.4	    39.5	4.9E-5     	0	F	-	(1.1.1.69)	
WP_012434361	PRI012888	266	     138	      95	      21	     109	       2	      94	    0.67	   39.69	6.5E-5     	0	F	-	1.1.1.100	
WP_012434361	PRI000103	266	     131	      45	      26	      70	       6	      50	    0.34	    38.7	1.1E-4     	0	F	-	1.1.1.53	
WP_012434361	PRI010305	266	     128	     133	     153	     264	       2	     126	    0.98	    38.4	1.4E-4     	0	F	-	1.1.1.304	
WP_012434361	PRI213011	266	     125	     108	     173	     264	      23	     123	    0.81	   37.21	3.6E-4     	0	F	-	(1.1.1.288)	
WP_012434361	PRI003381	266	     125	      89	      28	     109	       8	      86	    0.63	   37.09	3.6E-4     	0	F	-	1.1.1.51	
WP_012434361	PRI000114	266	     146	     137	      21	     143	       2	     137	    0.93	   37.36	4.2E-4     	0	F	-	1.1.1.10	
WP_012434361	PRI000081	266	     128	      59	      89	     143	      65	     123	    0.46	    36.3	8.7E-4     	0	F	-	1.1.1.69	
WP_012434361	PRI212815	266	     115	      84	     173	     246	      22	      94	    0.63	   35.66	1.1E-3     	0	F	-	(1.1.1.159)	
WP_012434361	PRI012763	266	     138	      34	      22	      55	       3	      36	    0.25	   35.62	1.6E-3     	0	F	-	1.3.1.56	
WP_012434361	PRI200093	266	     110	      36	     169	     204	      16	      51	    0.33	   34.93	2E-3     	0	F	-	(1.5.1.33)	
WP_012434361	PRI003865	266	     124	      45	      29	      69	       6	      38	    0.27	   35.15	2E-3     	0	F	-	1.1.1.295	
WP_012434361	PRI000091	266	     135	      89	      27	     109	       6	      91	    0.64	   34.99	2.5E-3     	0	F	-	1.1.1.62	
WP_012434361	PRI212834	266	     122	      60	     152	     208	      13	      66	    0.44	   34.21	3.7E-3     	0	F	-	(1.1.1.138)	
WP_012434361	PRI212625	266	     122	     116	     153	     251	       2	     105	    0.85	    33.4	6.3E-3     	0	F	-	(1.1.1.51)	
WP_012434361	PRI213139	266	     111	     131	     153	     263	       3	     111	    0.98	    32.9	1E-2     	0	F	-	(1.17.99.5)	
WP_012434361	PRI002583	266	     132	      24	      28	      51	       8	      31	    0.18	   32.85	1.1E-2     	0	F	-	1.1.1.288	
WP_012434361	PRI214459	266	     112	      48	      62	     109	      37	      81	     0.4	   32.57	1.4E-2     	0	F	-	(1.1.1.276)	
WP_012434361	PRI212781	266	     120	      97	     177	     264	      27	     118	    0.77	   32.67	1.4E-2     	0	F	-	(1.3.1.34)	
WP_012434361	PRI212624	266	     117	     127	     153	     265	       2	     116	    0.98	   32.26	1.8E-2     	0	F	-	(1.1.1.53)	
WP_012434361	PRI012650	266	     134	      87	      28	     109	       4	      90	    0.65	   31.84	2.8E-2     	0	F	-	1.1.1.36	
WP_012434361	PRI212619	266	     118	     118	     153	     264	       1	     115	    0.97	   31.55	3E-2     	0	F	-	(1.1.1.62)	
WP_012434361	PRI002429	266	     122	      90	      28	     109	       4	      87	    0.69	   30.69	6.6E-2     	0	F	-	1.1.1.141	
WP_012434361	PRI002432	266	     123	      61	      78	     134	      55	     107	    0.43	   30.19	9.6E-2     	0	F	-	1.1.1.162;1.1.1.10	
WP_012434361	PRI212812	266	     113	      32	     173	     204	      22	      53	    0.28	   29.44	1.7E-1     	0	F	-	(1.1.1.163)	
WP_012434361	PRI003200	266	     130	      26	      26	      51	       6	      31	     0.2	    29.4	2E-1     	0	F	-	1.1.1.206	
WP_012434361	PRI200104	266	     131	      77	     167	     242	      15	      88	    0.56	   28.83	2.8E-1     	0	F	-	(1.3.1.56)	
WP_012434361	PRI014696	266	     343	      36	      20	      55	     162	     196	     0.1	   29.86	2.9E-1     	0	F	-	1.4.1.23	
WP_012434361	PRI010152	266	     127	      75	      24	      96	       2	      76	    0.59	   28.89	3E-1     	0	F	-	5.1.3.2	
WP_012434361	PRI002955	266	     124	      95	      24	     109	       2	      85	    0.68	   28.65	3.1E-1     	0	F	-	1.1.1.269	
WP_012434361	PRI000101	266	     131	      30	      30	      59	      11	      40	    0.23	   28.64	3.1E-1     	0	F	-	1.3.1.58	
WP_012434361	PRI000106	266	     142	      31	      27	      56	       7	      37	    0.22	   28.74	3.4E-1     	0	F	-	1.1.1.140	
WP_012434361	PRI212994	266	     119	      27	     238	     264	      92	     118	    0.23	   28.38	3.4E-1     	0	F	-	(1.1.1.295)	
WP_012434361	PRI012726	266	     127	      21	      29	      49	       9	      29	    0.17	   28.57	3.5E-1     	0	F	-	1.1.1.311	
WP_012434361	PRI212878	266	     116	      32	     173	     204	      23	      54	    0.28	   28.36	3.7E-1     	0	F	-	(1.1.1.107)	
WP_012434361	PRI012001	266	     255	      24	      72	      92	      89	     112	    0.09	   28.33	7.2E-1     	0	F	-	2.6.1.91	
WP_012434361	PRI000112	266	     150	      73	      25	      83	       6	      78	    0.49	   27.93	7.5E-1     	0	F	-	1.1.1.102	
WP_012434361	PRI000099	266	     133	      27	      29	      55	      10	      36	     0.2	    27.6	8.5E-1     	0	F	-	1.3.1.28	
WP_012434437	PRI003762	566	     383	     234	     177	     402	       2	     217	    0.56	   57.78	1.2E-9     	0	T	-	1.2.1.3	
WP_012434437	PRI003273	566	     373	     151	     208	     345	      24	     163	    0.38	   49.76	4.8E-7     	0	F	-	1.5.1.12	
WP_012434437	PRI002833	566	     372	     169	     196	     354	      21	     175	    0.42	   40.36	3.9E-4     	0	F	-	1.2.1.71	
WP_012434437	PRI002527	566	     403	     156	     210	     351	      33	     176	    0.36	   36.23	9.5E-3     	0	F	-	1.2.1.5	
WP_012434437	PRI002375	566	     371	      91	     210	     294	      42	     116	     0.2	   33.39	6.4E-2     	0	F	-	1.2.1.8	
WP_012434437	PRI207196	566	     344	      90	     219	     300	      36	     111	    0.22	    31.9	1.8E-1     	0	F	-	(1.5.99.8)	
WP_012434437	PRI002019	566	     481	      34	     317	     350	     263	     296	    0.07	   31.19	3.8E-1     	0	F	-	1.2.1.50	
WP_012434865	PRI011886	577	     541	     541	      28	     558	       1	     540	       1	  723.98	0E0     	0.005	T	-	4.2.1.25	
WP_012434865	PRI001230	577	     585	     594	      11	     559	       1	     582	    0.99	  430.21	2.1E-145     	0.095	F	-	4.2.1.9	
WP_012434865	PRI001231	577	     568	     441	     119	     515	      96	     521	    0.75	   89.35	2.5E-19     	0	F	-	4.2.1.12	
WP_012434865	PRI010094	577	     142	     148	     386	     530	       1	     142	       1	   79.41	3E-18     	0.031	F	-	4.2.1.9	
WP_012434865	PRI009112	577	     326	      37	     280	     316	      43	      79	    0.11	   32.75	1.1E-1     	0	F	-	3.6.4.13	
WP_012426462	PRI012082	310	     309	     309	       1	     309	       1	     308	       1	  430.95	7.6E-154     	0.101	T	-	4.2.1.43	
WP_012426462	PRI002230	310	     241	     163	      14	     172	       8	     158	    0.63	   36.67	1.8E-3     	0	F	-	4.2.1.41	
WP_012426462	PRI000903	310	     725	      23	     179	     200	     151	     173	    0.03	   30.53	2.6E-1     	0	F	-	3.4.24.71	
WP_012426549	PRI012415	482	     345	     382	      96	     472	       6	     345	    0.99	  163.78	6.2E-47     	0	T	-	2.6.1.11	
WP_012426549	PRI013467	482	     173	     165	     215	     375	       3	     162	    0.92	  137.12	6.8E-39     	0.001	F	-	2.6.1.96	
WP_012426549	PRI006421	482	     163	     146	     236	     376	       9	     154	     0.9	  107.16	4.8E-28     	0	F	-	2.6.1.62	
WP_012426549	PRI212414	482	     174	     158	     231	     388	      22	     174	    0.88	  105.92	1.6E-27     	0	F	-	(2.6.1.13)	
WP_012426549	PRI013699	482	     185	     155	     234	     388	      37	     185	    0.81	  100.29	2.8E-25     	0	F	-	2.6.1.11	
WP_012426549	PRI002696	482	     159	      90	     233	     322	       1	      90	    0.57	   83.58	1.2E-19     	0	F	-	2.6.1.77	
WP_012426549	PRI212357	482	     107	     106	      38	     141	       2	     105	    0.97	   80.13	4.3E-19     	0.006	F	-	(2.6.1.62)	
WP_012426549	PRI211643	482	     182	     132	     238	     365	      29	     159	    0.72	   78.98	6.8E-18     	0	F	-	(2.8.1.6)	
WP_012426549	PRI002425	482	     124	     129	     237	     353	       1	     124	       1	   72.43	3.5E-16     	0	F	-	2.6.1.18	
WP_012426549	PRI212412	482	     337	     162	     216	     376	      50	     210	    0.48	   74.16	3.7E-15     	0	F	-	(2.6.1.13)	
WP_012426549	PRI001251	482	     164	     152	     233	     379	       7	     156	    0.91	   63.84	8.7E-13     	0	F	-	2.6.1.19	
WP_012426549	PRI212343	482	     381	     254	     140	     358	      46	     273	     0.6	   64.98	5.4E-12     	0	F	-	(2.6.1.81)	
WP_012426549	PRI202420	482	     184	      83	     243	     323	      43	     123	    0.44	   59.56	3.8E-11     	0	F	-	(2.6.1.76)	
WP_012426549	PRI202507	482	     172	      82	     244	     325	      30	     111	    0.48	   58.88	5.7E-11     	0	F	-	(2.6.1.82)	
WP_012426549	PRI003665	482	     194	     136	     244	     370	      53	     177	    0.64	   58.78	1E-10     	0	F	-	5.4.3.8	
WP_012426549	PRI213465	482	      98	      74	      48	     120	       9	      76	    0.69	   55.46	1.8E-10     	0	F	-	(2.6.1.96)	
WP_012426549	PRI001245	482	     172	     145	     226	     361	       4	     148	    0.84	   56.12	5.3E-10     	0	F	-	2.6.1.19;2.6.1.22	
WP_012426549	PRI212349	482	     357	      98	     233	     327	     118	     215	    0.27	   55.94	3.2E-9     	0	F	-	(5.4.3.8)	
WP_012426549	PRI013564	482	     132	     122	     247	     363	       9	     129	    0.92	   52.12	5.1E-9     	0	F	-	2.6.1.62	
WP_012426549	PRI012411	482	     160	     107	     252	     358	      29	     131	    0.64	   47.76	3.1E-7     	0	F	-	2.6.1.17;2.6.1.11	
WP_012426549	PRI001237	482	     158	      93	     246	     326	      19	      99	    0.51	   46.82	5.8E-7     	0	F	-	2.6.1.44	
WP_012426549	PRI212346	482	     100	      40	      78	     110	      32	      71	     0.4	   44.72	1E-6     	0	F	-	(2.6.1.77)	
WP_012426549	PRI213686	482	     103	      87	      59	     141	      20	     101	     0.8	   44.73	1.2E-6     	0	F	-	(2.6.1.18)	
WP_012426549	PRI213695	482	      95	      86	     245	     330	       1	      85	    0.89	   42.41	5.4E-6     	0	F	-	(2.6.1.13)	
WP_012426549	PRI213466	482	      72	      70	     144	     213	       1	      70	    0.97	   41.32	9.9E-6     	0.015	F	-	(2.6.1.96)	
WP_012426549	PRI212408	482	      66	      47	     144	     190	       1	      47	    0.71	   39.38	3.3E-5     	0	F	-	(2.6.1.18)	
WP_012426549	PRI003815	482	     152	      72	     245	     316	      12	      83	    0.47	   40.84	6.4E-5     	0	F	-	4.1.1.64	
WP_012426549	PRI212344	482	     163	     110	     250	     358	      30	     134	    0.64	   40.79	8.8E-5     	0	F	-	(2.6.1.81)	
WP_012426549	PRI212356	482	      76	      45	     153	     196	      10	      54	    0.59	   37.04	2.8E-4     	0	F	-	(2.6.1.62)	
WP_012426549	PRI213558	482	     133	      63	     255	     314	      24	      83	    0.45	   38.61	2.8E-4     	0	F	-	(2.6.1.76)	
WP_012426549	PRI013341	482	     308	     328	     128	     404	      34	     303	    0.88	   39.46	5.3E-4     	0	F	-	4.2.3.134	
WP_012426549	PRI213557	482	     243	      60	     250	     308	     105	     163	    0.24	   37.05	2.6E-3     	0	F	-	(2.6.1.76)	
WP_012426549	PRI213464	482	      43	      36	     436	     471	       6	      40	    0.81	   32.45	5.5E-3     	0.005	F	-	(2.6.1.96)	
WP_012426549	PRI002442	482	     164	      95	     249	     339	      18	     108	    0.55	   34.07	1.4E-2     	0	F	-	2.6.1.36	
WP_012426549	PRI013334	482	     173	     104	     230	     324	      20	     105	     0.5	   33.57	2.4E-2     	0	F	-	4.2.3.2	
WP_012426549	PRI012409	482	     420	      69	     250	     311	     171	     235	    0.15	   34.23	2.7E-2     	0	F	-	2.6.1.17	
WP_012426549	PRI002365	482	     161	      98	     243	     326	      19	     102	    0.52	   32.53	5E-2     	0	F	-	2.6.1.40;2.6.1.44	
WP_012426549	PRI213556	482	      89	      97	     390	     471	       1	      87	    0.98	      30	1.2E-1     	0	F	-	(2.6.1.77)	
WP_012426549	PRI212388	482	      80	      26	     158	     182	      15	      39	    0.31	   29.76	1.2E-1     	0.003	F	-	(2.8.1.6)	
WP_012426549	PRI213693	482	      53	      44	     431	     470	       7	      50	    0.83	   28.16	2.8E-1     	0	F	-	(2.6.1.13)	
WP_012426549	PRI203095	482	      41	      20	      60	      79	      14	      33	    0.49	   26.67	8.1E-1     	0	F	-	(2.6.1.13)	
WP_012426550	PRI002592	444	     345	     350	      16	     354	       2	     343	    0.99	  159.89	8.6E-46     	0	T	-	6.3.1.11	
WP_012426550	PRI001617	444	     362	     317	      66	     354	      47	     360	    0.87	  149.55	8.1E-42     	0	F	-	6.3.1.2	
